n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1992 | fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1992 | all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
326 | Khodel, Vladimir | WASHINGTON UNIVERSITY | 1997 | male | 1 | 3 | 2004 | 1 | 4 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
327 | Ulmer, Andrew Todd | PRINCETON UNIVERSITY | 1997 | male | 8 | 3 | 1999 | 12 | 4 | 1999 | 0 | 1 | 2 | 3 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 3 | 3 | 2 | 3 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
328 | Walter, Charles Martin | NEW MEXICO STATE UNIVERSITY | 1997 | male | 3 | 1 | 1998 | 5 | 3 | 2012 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 0 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |
329 | Yadigaroglu, Ion-Alexis George | STANFORD UNIVERSITY | 1997 | male | 1 | 0 | 1997 | 1 | 0 | 1997 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
330 | Agol, Eric | UNIVERSITY OF CALIFORNIA, SANTA BARBARA | 1997 | male | 3 | 22 | 2016 | 5 | 147 | 2017 | 0 | 0 | 0 | 0 | 2 | 1 | 2 | 1 | 3 | 2 | 3 | 1 | 1 | 1 | 1 | 2 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 1 |  0 | 0 | 0 | 0 | 4 | 1 | 2 | 1 | 6 | 4 | 7 | 3 | 2 | 3 | 2 | 6 | 5 | 10 | 5 | 13 | 13 | 24 | 14 | 7 | 14 |
331 | Edgington, Scott G. | THE UNIVERSITY OF MICHIGAN | 1997 | male | 1 | 3 | 2016 | 6 | 16 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 1 | 3 | 0 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 1 | 3 | 1 | 1 | 0 | 1 | 1 | 0 | 1 | 2 | 1 | 0 | 1 |
332 | Kress, Monika Ellen | RENSSELAER POLYTECHNIC INSTITUTE | 1997 | female | 1 | 4 | 2010 | 3 | 9 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 1 |
333 | Li, Wenbin | THE UNIVERSITY OF TEXAS AT AUSTIN | 1997 | male | 7 | 32 | 2017 | 10 | 167 | 2017 | 0 | 1 | 2 | 1 | 1 | 2 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 2 | 4 | 4 | 3 | 4 | 3 | 4 |  1 | 1 | 3 | 1 | 1 | 3 | 0 | 2 | 0 | 3 | 2 | 5 | 2 | 3 | 11 | 8 | 12 | 14 | 7 | 15 | 11 | 17 | 16 | 15 | 20 |
334 | Rivkin, Andrew Scott | THE UNIVERSITY OF ARIZONA | 1997 | male | 3 | 24 | 2016 | 8 | 65 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 1 | 2 | 3 | 1 | 1 | 2 | 1 | 0 | 1 | 2 | 3 | 1 | 1 | 1 | 2 | 1 |  0 | 1 | 1 | 1 | 1 | 4 | 0 | 0 | 2 | 2 | 2 | 4 | 8 | 1 | 4 | 4 | 4 | 4 | 4 | 6 | 5 | 2 | 2 | 5 | 5 |
335 | Convery, Patrick Dennis | UNIVERSITY OF CALIFORNIA, LOS ANGELES | 1997 | male | 2 | 1 | 2002 | 3 | 1 | 2002 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
336 | Mauskopf, Philip Daniel | UNIVERSITY OF CALIFORNIA, BERKELEY | 1997 | male | 1 | 4 | 2012 | 15 | 135 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 1 | 4 | 4 | 0 | 6 | 0 | 2 | 5 | 4 | 6 | 8 | 1 | 6 | 9 | 7 | 9 | 15 | 15 | 11 | 4 | 1 | 7 | 4 | 16 |
