non-USA|2019|Inter-University Center for Astronomy and Astrophysics, Post Bag 4, Pune, Maharashtra 411007, India|1|Bhattacharya, Debadarshi|Bhattacharya, D.
USA|2019|Institute for Astronomy, University of Hawai'i, 2680 Woodlawn Drive, Honolulu, HI 96822, USA|0|Chambers, Kenneth Carter|Chambers, K. C.
non-USA|2019|Division of Natural Sciences, University of Maine at Farmington, 173 High Street, Farmington, ME, 04938, United States|0|Magri, Christopher|Magri, C.
USA|2018|Laboratory for Atmospheric and Space Physics, University of Colorado Boulder, Boulder, Colorado, USA ; Max-Planck-Institut für Sonnensystemforschung, Göttingen, Germany|0|Kopp, Greg|Kopp, G.
USA|2019|Department of Physics, University of California, Davis, CA 95616, USA; Institute of Geophysics and Planetary Physics, Lawrence Livermore National Laboratory, Livermore, CA 94551, USA|0|Stanford, Spencer Adam|Stanford, S. A.
USA|2018|Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena 91109, CA, USA|0|Simon, Jonathan Zev|Simon, J.
USA|2019|Department of Physics, Wake Forest University, Winston-Salem, North Carolina 27109, USA|0|Cook, Gregory Brown|Cook, Gregory B.
non-USA|2016|Niels Bohr Institute, University of Copenhagen, Kobenhavn, Denmark|0|Hansen, John David|Hansen, P. H.
non-USA|2016|Cavendish Laboratory, University of Cambridge, Cambridge, United Kingdom|0|Thomson, Eloise Pugar|Thomson, M.
non-USA|2019|Department of Physics, National Central University, Jhongli City, Taoyuan County 32054, Taiwan|0|Huang, Chunsheng|Huang, C. H.
non-USA|2019|Department of Physics and Astronomy, University of Calgary, Calgary, Alberta Canada|0|Knudsen, David J.|Knudsen, David J.
USA|2012|Los Alamos National Laboratory, Los Alamos, NM 87545, USA|2|Huang, Ching-Yuang Albert|Huang, C.
non-USA|2019|Delft University of Technology, Kluyverweg 1, 2629 HS Delft, The Netherlands|0|Mao, Xiaotian|Mao, X.
non-USA|2018|Central Connecticut State University, 1615 Stanley Street, New Britain, CT 06050|0|Larsen, Kristine Marie|Larsen, K.
USA|2019|Department of Physics and Astronomy, UCLA, 430 Portola Plaza, Los Angeles, CA 90095-1547, USA|0|Wang, Xue-Sen|Wang, X.
non-USA|2019|School of Space Research and Department of Astronomy and Space Science, Kyung Hee University, Yongin, Gyeonggi South Korea|0|Lee, Dong-Hun|Lee, Dong-Hun
USA|2017|Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA|0|Flanagan, Kathryn Anne|Flanagan, K.
USA|2018|Department of Earth System Science, University of California, CA, Irvine USA|0|Wood, Matthew Alan|Wood, M.
USA|2018|L-3 Communications/Brashear, 615 Epsilon Drive, Pittsburgh, PA 15238-2807, USA|0|Canzian, Blaise Joseph|Canzian, Blaise J.
USA|2019|Department of Physics and Astronomy, Michigan State University, East Lansing, MI 48824, USA|0|Donahue, Megan Elizabeth|Donahue, Megan
USA|2019|NRAO, P.O. Box O, Socorro, NM 87801, USA|0|Myers, Steven Theodore|Myers, S. T.
non-USA|2019|Astronomy Program, Department of Physics and Astronomy, Seoul National University, 1 Gwanak-ro, Gwanak-gu, Seoul 151-742, Republic of Korea|0|Lee, Myung Gyoon|Lee, Myung Gyoon
non-USA|2019|International Centre for Radio Astronomy Research, Curtin University, GPO Box U1987, Perth, WA, 6845, Australia|0|Morgan, James Arthur|Morgan, J.
non-USA|2019|Department Astronomy, Nanjing University, 163 Xianlin Avenue, Nanjing 210023, China|0|Zhang, Xiao-He.|Zhang, Xiao
USA|2017|Department of Physics Miami University Oxford, OH 45056, USA|0|Alexander, Stephen George|Staron, Alexander
non-USA|2018|Nordita KTH Royal Institute of Technology and Stockholm University Roslagstullsbacken 23, SE-106 91 Stockholm, Sweden|0|Bjornsson, Gunnlaugur|Bjornsson, Gunnlaugur
USA|2017|OAM Solutions, LLC, 9300 Stardust Trail, Flagstaff, AZ 86004, USA|0|Elias, Nicholas|Elias, Nicholas
non-USA|2018|European Southern Observatory, Karl-Schwarzschild-Strasse 2, D-85748 Garching bei München, Germany|0|Freudling, Wolfram|Freudling, W.
