n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
37 | Rusin, David Joseph | UNIVERSITY OF PENNSYLVANIA | 2001 | male | 6 | 6 | 2005 | 15 | 19 | 2005 | 0 | 0 | 0 | 0 | 1 | 5 | 2 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 5 | 8 | 4 | 8 | 3 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
38 | Angelats I Coll, Monica | UNIVERSITY OF COLORADO AT BOULDER | 2001 | female | 1 | 0 | 2001 | 2 | 9 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 2 | 0 | 2 | 2 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
39 | Sandhu, Jagmit S. | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2001 | male | 3 | 0 | 2001 | 13 | 5 | 2016 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  2 | 5 | 2 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 2 |
40 | DeYoung, Tyce Robert | THE UNIVERSITY OF WISCONSIN - MADISON | 2001 | male | 1 | 2 | 2013 | 1 | 125 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 3 | 0 | 0 | 0 | 5 | 5 | 11 | 13 | 15 | 20 | 14 | 16 | 15 |
41 | Li, Li-Xin | PRINCETON UNIVERSITY | 2001 | None | 19 | 70 | 2017 | 21 | 190 | 2017 | 2 | 1 | 4 | 1 | 9 | 2 | 8 | 7 | 7 | 5 | 6 | 5 | 7 | 4 | 3 | 3 | 3 | 1 | 3 | 1 | 5 |  2 | 1 | 5 | 1 | 9 | 3 | 11 | 9 | 10 | 9 | 12 | 8 | 13 | 16 | 11 | 11 | 12 | 8 | 9 | 20 | 26 |
42 | Hinz, Philip Mark | THE UNIVERSITY OF ARIZONA | 2001 | male | 3 | 2 | 2010 | 4 | 92 | 2017 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 3 | 0 | 4 | 2 | 3 | 4 | 2 | 2 | 5 | 6 | 6 | 6 | 9 | 13 | 16 | 11 |
43 | De Young, Tyce Robert | THE UNIVERSITY OF WISCONSIN - MADISON | 2001 | male | 1 | 3 | 2008 | 9 | 49 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 2 | 2 | 4 | 3 | 8 | 10 | 8 | 7 | 5 | 2 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |
44 | Pogorelov, Ilya V. | UNIVERSITY OF FLORIDA | 2001 | male | 3 | 1 | 2005 | 4 | 2 | 2005 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
45 | Florinski, Vladimir A. | THE UNIVERSITY OF ARIZONA | 2001 | male | 4 | 31 | 2017 | 4 | 54 | 2017 | 0 | 1 | 0 | 2 | 0 | 1 | 0 | 6 | 2 | 4 | 1 | 0 | 2 | 4 | 2 | 2 | 1 | 3 | 0 | 2 | 1 |  0 | 1 | 0 | 2 | 0 | 1 | 0 | 6 | 3 | 4 | 4 | 3 | 4 | 5 | 2 | 2 | 3 | 4 | 4 | 4 | 5 |
46 | Allen, Lorraine Ann | HARVARD UNIVERSITY | 2001 | female | 6 | 2 | 2013 | 6 | 21 | 2016 | 1 | 0 | 3 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  1 | 0 | 3 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 0 | 3 | 0 | 3 | 4 | 3 | 1 | 2 |
