n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
74 | Reddy, Naveen A. | California Institute of Technology | 2006 | male | 6 | 9 | 2016 | 24 | 73 | 2017 | 0 | 0 | 0 | 2 | 1 | 3 | 0 | 1 | 1 | 1 | 1 | 2 | 0 | 0 | 1 | 2 |  1 | 0 | 1 | 7 | 7 | 8 | 5 | 2 | 3 | 6 | 6 | 12 | 5 | 3 | 13 | 14 |
75 | Swift, Jonathan Jay | University of California, Berkeley | 2006 | male | 4 | 7 | 2015 | 4 | 21 | 2017 | 1 | 0 | 0 | 0 | 1 | 2 | 0 | 2 | 1 | 1 | 0 | 0 | 1 | 0 | 2 | 0 |  1 | 0 | 0 | 0 | 1 | 2 | 0 | 3 | 3 | 3 | 0 | 0 | 2 | 2 | 5 | 2 |
76 | Bock, Daniel Mark | Carnegie Mellon University | 2006 | male | 1 | 0 | 2006 | 1 | 1 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |
77 | Kollmeier, Juna A. | The Ohio State University | 2006 | None | 4 | 7 | 2014 | 11 | 39 | 2017 | 0 | 0 | 1 | 0 | 0 | 3 | 1 | 0 | 2 | 2 | 0 | 0 | 1 | 1 | 0 | 0 |  0 | 1 | 1 | 1 | 2 | 6 | 1 | 1 | 3 | 5 | 4 | 2 | 6 | 5 | 3 | 4 |
78 | Meakin, Casey A. | The University of Arizona, Arizona, USA | 2006 | male | 4 | 5 | 2011 | 7 | 28 | 2016 | 0 | 0 | 1 | 0 | 1 | 2 | 2 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 3 | 3 | 3 | 0 | 4 | 3 | 6 | 4 | 2 | 1 | 2 | 3 |
79 | Makarov, Alexey | Princeton University | 2006 | male | 2 | 1 | 2007 | 8 | 3 | 2011 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 2 | 3 | 2 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
80 | Hicks, Erin Kathleen Strobel | University of California, Los Angeles | 2006 | female | 2 | 3 | 2013 | 2 | 32 | 2017 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 1 | 2 | 3 | 6 | 3 | 6 | 3 | 2 | 4 | 1 | 1 |
81 | Kohler, Katharina | University of Colorado at Boulder, Colorado, USA | 2006 | female | 2 | 2 | 2007 | 2 | 2 | 2007 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
82 | Leclair, Andre | The University of Alabama in Huntsville | 2006 | male | 1 | 0 | 2006 | 5 | 8 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 2 | 0 | 2 | 3 | 0 | 0 | 2 | 0 | 1 | 2 | 0 | 0 | 0 |
83 | Rogan, Aaron Matthew | Washington State University | 2006 | male | 2 | 0 | 2006 | 2 | 26 | 2009 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 8 | 14 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
84 | Gibson, Robert R. | Massachusetts Institute of Technology | 2006 | male | 2 | 7 | 2012 | 5 | 33 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 3 | 1 | 2 | 6 | 4 | 5 | 5 | 3 | 4 | 2 | 0 |
85 | Kopparapu, Ravi Kumar | Louisiana State University and Agricultural & Mechanical | 2006 | male | 1 | 12 | 2016 | 1 | 83 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 2 | 1 | 0 | 1 | 3 | 1 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 1 | 9 | 15 | 16 | 9 | 7 | 13 | 3 | 4 | 2 | 4 |
