n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last | hubble_host | hubble_year | foo
2 | Worthey, Guy | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1992 | male | 2 | 20 | 2015 | 2 | 61 | 2017 | University of Michigan | 1994 |
56 | Deliyannis, Constantine Plato | YALE UNIVERSITY. | 1990 | male | 5 | 12 | 2002 | 5 | 78 | 2017 | Yale University | 1993 |
97 | Ferguson, Henry Closson | THE JOHNS HOPKINS UNIVERSITY. | 1990 | male | 6 | 16 | 2004 | 6 | 332 | 2017 | Space Telescope Science Institute | 1993 |
17 | Herbig, Thomas | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1994 | male | 2 | 1 | 1995 | 4 | 8 | 2002 | Princeton University | 1993 |
31 | Jannuzi, Buell Tomasson | THE UNIVERSITY OF ARIZONA. | 1990 | male | 3 | 10 | 2004 | 5 | 182 | 2017 | Princeton, Institute for Advanced Study | 1993 |
244 | King, Jeremy R. | UNIVERSITY OF HAWAII. | 1993 | male | 7 | 30 | 2010 | 10 | 99 | 2017 | University of Texas | 1993 |
93 | Lada, Elizabeth Anne | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1990 | female | 2 | 11 | 2004 | 6 | 70 | 2016 | University of Maryland | 1993 |
190 | Lowenthal, James Daniel | THE UNIVERSITY OF ARIZONA. | 1991 | male | 3 | 7 | 2009 | 4 | 44 | 2017 | University of California, Santa Cruz | 1993 |
311 | McCullough, Peter Rankin | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1993 | male | 3 | 15 | 2014 | 6 | 58 | 2017 | University of Illinois | 1993 |
# Dimitar Sasselov | Center for Astrophysics | 1993 |
178 | Saumon, Didier | THE UNIVERSITY OF ROCHESTER. | 1990 | male | 3 | 17 | 2014 | 4 | 91 | 2016 | University of Arizona, Lunar and Planetary Laboratory | 1993 |
293 | Shields, Joseph Charles | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1991 | male | 8 | 17 | 2012 | 11 | 110 | 2017 | University of Arizona/Steward Observatory | 1993 |
# Marten van Kerwijk | California Institute of Technology | 1993 |
116 | Voit, Gerard Mark | UNIVERSITY OF COLORADO AT BOULDER. | 1990 | male | 5 | 31 | 2015 | 6 | 97 | 2017 | The Johns Hopkins University | 1993 |
317 | Zepf, Stephen Edward | THE JOHNS HOPKINS UNIVERSITY. | 1992 | male | 5 | 18 | 2008 | 6 | 114 | 2017 | University of California, Berkeley | 1993 |
70 | Bershady, Matthew Alec | THE UNIVERSITY OF CHICAGO. | 1994 | male | 4 | 16 | 2011 | 11 | 99 | 2017 | University of California, Santa Cruz | 1992 |
# Yong-Ik Byun | University of Hawaii | 1992 |
197 | Green, Paul Jonathan | UNIVERSITY OF WASHINGTON. | 1992 | male | 7 | 21 | 2013 | 28 | 100 | 2017 | Center for Astrophysics | 1992 |
166 | Ghez, Andrea Mia | Steward Observatory, University of Arizona, Tucson, AZ, 85721, USA; | 1993 | female | 4 | 13 | 2008 | 10 | 117 | 2016 | University of Arizona | 1992 |
53 | Garnett, Donald Roy | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1989 | male | 6 | 24 | 2004 | 10 | 43 | 2013 | University of Minnesota | 1992 |
# Coel Hellier | University of Texas | 1992 |
168 | Luu, Jane | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1990 | female | 6 | 17 | 2003 | 9 | 44 | 2006 | University of California, Berkeley | 1992 |
## Steven R. Majewski | Observatories of the Carnegie Institute of Washington | 1992 |
292 | Rasio, Frederic Armand | CORNELL UNIVERSITY. | 1991 | male | 7 | 19 | 2013 | 7 | 149 | 2017 | Princeton, Institute for Advanced Study | 1992 |
17 | Sembach, Kenneth Russell | Wisconsin Univ., Madison. | 1992 | male | 3 | 25 | 2004 | 9 | 165 | 2017 | Massachusetts Institute of Technology | 1992 |
176 | Veilleux, Sylvain | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1989 | male | 4 | 41 | 2016 | 8 | 202 | 2017 | Kitt Peak National Observatory | 1992 |
247 | Womble, Donna Suzanne | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1992 | female | 3 | 1 | 1993 | 5 | 13 | 1999 | California Institute of Technology | 1992 |
# Marijn Franx | Center for Astrophysics | 1991 |
239 | Hawley, Suzanne Louise | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1989 | female | 4 | 14 | 2014 | 11 | 143 | 2017 | Lawrence Livermore National Laboratory | 1991 |
302 | Hui, Xiaohui | BOSTON UNIVERSITY. | 1992 | male | 1 | 4 | 1995 | 2 | 8 | 1999 | California Institute of Technology | 1991 |
# Konrad H. Kuijken | Center for Astrophysics | 1991 |
114 | Lanzetta, Kenneth M. | Pittsburgh Univ., PA. | 1988 | male | 3 | 16 | 2002 | 3 | 59 | 2007 | University of California, San Diego | 1991 |
27 | McCarthy, Patrick Joseph | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1988 | male | 6 | 21 | 2009 | 17 | 183 | 2017 | Observatories of the Carnegie Institute of Washington | 1991 |
# Heather L. Morrison | Kitt Peak National Observatory | 1991 |
279 | Rix, Hans-Walter Reinhard | THE UNIVERSITY OF ARIZONA. | 1991 | male | 2 | 1 | 1995 | 2 | 1 | 1995 | Princeton, Institute for Advanced Study | 1991 |
# Sean G. Ryan | University of Texas | 1991 |
19 | Vacca, William Donald | Colorado Univ., Boulder. | 1992 | male | 4 | 12 | 2015 | 8 | 97 | 2017 | University of California, Berkeley | 1991 |
14 | Zaritsky, Dennis Fabian | THE UNIVERSITY OF ARIZONA. | 1991 | male | 7 | 52 | 2017 | 7 | 229 | 2017 | Observatories of the Carnegie Institute of Washington | 1991 |
# Pawel Artymowicz | University of California, Santa Cruz | 1990 |
120 | Baum, Stefi Alison | UNIVERSITY OF MARYLAND COLLEGE PARK. | 1987 | female | 2 | 19 | 2014 | 6 | 224 | 2017 | The Johns Hopkins University | 1990 |
106 | Bolte, Michael John | UNIVERSITY OF WASHINGTON. | 1987 | male | 6 | 12 | 1995 | 10 | 95 | 2016 | University of California, Santa Cruz | 1990 |
# Paul Callanan | Center for Astrophysics | 1990 |
9 | Danly, Laura | THE UNIVERSITY OF WISCONSIN - MADISON. | 1987 | female | 1 | 5 | 1993 | 1 | 13 | 1997 | Space Telescope Science Institute | 1990 |
238 | Fruchter, Andrew Steven | PRINCETON UNIVERSITY. | 1989 | male | 4 | 18 | 2011 | 10 | 173 | 2017 | University of California, Berkeley | 1990 |
131 | Katz, Neal Steven | PRINCETON UNIVERSITY. | 1989 | male | 5 | 13 | 1999 | 9 | 147 | 2017 | Massachusetts Institute of Technology | 1990 |
132 | Lee, Young-Wook | YALE UNIVERSITY. | 1989 | male | 4 | 31 | 2016 | 4 | 204 | 2017 | Yale University | 1990 |
# Peter Lundqvist | University of Virginia | 1990 |
109 | Mateo, Mario Luis | UNIVERSITY OF WASHINGTON. | 1987 | male | 12 | 23 | 2008 | 23 | 200 | 2017 | Observatories of the Carnegie Institute of Washington | 1990 |
114 | Steidel, Charles Colville | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1990 | male | 9 | 33 | 2016 | 17 | 213 | 2017 | University of California, Berkeley | 1990 |
# Rene Walterbos | New Mexico State University | 1990 |
## Qinde Wang | University of Colorado | 1990 |
# Janet Wood | University of Texas | 1990 |
## Brian Yanny | Princeton, Institute for Advanced Study | 1990 |
