n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last | hubble_host | hubble_year | foo
160 | Wise, John H. | Stanford University | 2007 | male | 5 | 8 | 2014 | 9 | 45 | 2017 | Princeton University | 2009 |
249 | Wright, Shelley Adams | University of California, Los Angeles | 2008 | female | 3 | 2 | 2010 | 14 | 22 | 2016 | University of California, Berkeley | 2009 |
84 | Younger, Joshua Daniel | Harvard University | 2009 | male | 14 | 2 | 2011 | 21 | 10 | 2011 | Princeton, Institute for Advanced Study | 2009 |
223 | Bundy, Kevin | California Institute of Technology | 2006 | male | 4 | 7 | 2015 | 9 | 104 | 2017 | University of California, Berkeley | 2008 |
# Julio Chaname | Carnegie DTM | 2008 |
360 | Cool, Richard Jacob | The University of Arizona | 2008 | male | 7 | 2 | 2013 | 27 | 31 | 2017 | Princeton Unversity | 2008 |
# Elena Gallo | Massachusetts Institute of Technology | 2008 |
21 | Gezari, Suvi T. K. | Columbia University, New York, USA | 2005 | female | 5 | 12 | 2017 | 7 | 36 | 2017 | The Johns Hopkins University | 2008 |
288 | Kelly, Brandon C. | The University of Arizona | 2008 | male | 9 | 10 | 2014 | 14 | 47 | 2017 | Smithsonian Astrophysical Observatory | 2008 |
45 | Law, David R. | Caltech | 2008 | male | 6 | 11 | 2016 | 15 | 50 | 2017 | University of California, Los Angeles | 2008 |
426 | Law, David R. | California Institute of Technology | 2009 | male | 8 | 8 | 2016 | 19 | 44 | 2017 | University of California, Los Angeles | 2008 |
66 | Mesinger, Andrei | Columbia University | 2006 | male | 7 | 15 | 2016 | 8 | 69 | 2017 | Princeton University | 2008 |
74 | Reddy, Naveen A. | California Institute of Technology | 2006 | male | 6 | 9 | 2016 | 24 | 73 | 2017 | National Optical Astronomy Observatory | 2008 |
# Emily L. Schaller | University of Hawaii | 2008 |
231 | Strigari, Louis E. | The Ohio State University, Ohio, USA | 2005 | male | 3 | 17 | 2017 | 5 | 71 | 2017 | Stanford University | 2008 |
77 | Woo, Jong-Hak | Yale University, Connecticut, USA | 2005 | male | 8 | 12 | 2017 | 12 | 86 | 2017 | University of California, Los Angeles | 2008 |
67 | Andrews, Sean M. | University of Hawai'i at Manoa | 2007 | male | 7 | 13 | 2016 | 11 | 103 | 2017 | Smithsonian Astrophysical Observatory | 2007 |
68 | Biller, Beth Alison | The University of Arizona | 2007 | female | 7 | 9 | 2015 | 16 | 51 | 2017 | University of Hawaii, Institute for Astronomy | 2007 |
# Judd D Bowman | California Institute of Technology | 2007 |
# Marusa Bradac | University of California, Santa Barbara | 2007 |
30 | Kaplan, David L. | Massachusetts Institute of Technology | 2004 | male | 14 | 29 | 2016 | 19 | 150 | 2017 | Massachusetts Institute of Technology Kavli Institute | 2007 |
187 | Kaplan, David L. | California Institute of Technology | 2004 | male | 14 | 29 | 2016 | 19 | 150 | 2017 | Massachusetts Institute of Technology Kavli Institute | 2007 |
236 | Kasen, Daniel Nathan | University of California, rkeley, California, USA | 2004 | male | 4 | 16 | 2016 | 10 | 85 | 2017 | University of California, Santa Cruz | 2007 |
## Ivo F L Labbe | Carnegie Observatories | 2007 |
188 | Lopez-Morales, Mercedes | THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL | 2004 | female | 1 | 1 | 2016 | 2 | 88 | 2017 | Carnegie DTM | 2007 |
257 | Pritchard, Jonathan Robin | California Institute of Technology | 2007 | male | 6 | 8 | 2015 | 14 | 37 | 2016 | Harvard University | 2007 |
# Dominik A Riechers | California Institute of Technology | 2007 |
296 | Soderberg, Alicia | California Institute of Technology | 2007 | female | 14 | 5 | 2012 | 47 | 110 | 2017 | Princeton University | 2007 |
136 | Strader, Jay | University of California, Santa Cruz | 2007 | male | 11 | 15 | 2016 | 38 | 148 | 2017 | Harvard University | 2007 |
# Niccolo Bucciantini | University of California, Berkeley | 2006 |
#Jurg Diemand | University of California, Santa Cruz | 2006 |
82 | Ford, Eric Cassel | COLUMBIA UNIVERSITY | 1997 | male | 5 | 9 | 2000 | 16 | 31 | 2016 | Center for Astrophysics | 2006 |
134 | Ford, Eric B. | PRINCETON UNIVERSITY | 2003 | male | 7 | 19 | 2014 | 11 | 138 | 2017 | Center for Astrophysics | 2006 |
300 | Greene, Jenny Emma | Harvard University, Massachusetts, USA | 2006 | female | 10 | 24 | 2016 | 18 | 136 | 2017 | Princeton University | 2006 |
77 | Kollmeier, Juna A. | The Ohio State University | 2006 | female | 4 | 7 | 2014 | 11 | 39 | 2017 | Observatories of the Carnegie Institute of Washington | 2006 |
## Janice Lee | National Optical Astronomy Observatory | 2006 |
194 | Mandelbaum, Rachel | Princeton University | 2006 | female | 8 | 13 | 2016 | 11 | 89 | 2017 | Princeton, Institute for Advanced Study | 2006 |
250 | Padmanabhan, Nikhil | Princeton University | 2006 | male | 7 | 9 | 2016 | 22 | 83 | 2017 | Lawrence Berkeley National Laboratory | 2006 |
# Klaus Pontoppidan | California Institute of Technology | 2006 |
# Glenn van de Ven | Institute for Advanced Study | 2006 |
2 | Coil, Alison Laurel | University of California, rkeley, California, USA | 2004 | female | 7 | 9 | 2017 | 22 | 138 | 2017 | University of Arizona | 2005 |
127 | Darling, Jeremiah Kane | CORNELL UNIVERSITY | 2002 | male | 1 | 1 | 2009 | 1 | 16 | 2016 | University of Colorado | 2005 |
# Michael Gladders | Carnegie Observatories | 2005 |
# Jasonjot Kalirai | University of California, Santa Cruz | 2005 |
209 | Krumholz, Mark Reuben | University of California, Berkeley, California, USA | 2005 | male | 6 | 44 | 2017 | 6 | 126 | 2017 | Princeton University | 2005 |
258 | Lee, Jeong-Eun | The University of Texas at Austin, Texas, USA | 2005 | female | 6 | 20 | 2016 | 20 | 175 | 2017 | University of California, Los Angeles | 2005 |
## Milos Milosavljevic | California Institute of Technology | 2005 |
104 | Osten, Rachel Ann | UNIVERSITY OF COLORADO AT BOULDER | 2002 | female | 5 | 17 | 2016 | 12 | 38 | 2017 | University of Washington | 2005 |
67 | Redfield, Seth Laurens | UNIVERSITY OF COLORADO AT BOULDER | 2003 | male | 6 | 13 | 2017 | 13 | 60 | 2017 | University of Texas | 2005 |
121 | Sigurdson, Kris | California Institute of Technology | 2005 | male | 7 | 3 | 2006 | 8 | 40 | 2017 | Princeton, Institute for Advanced Study | 2005 |
38 | Sigurdson, Kris | California Institute of Technology | 2006 | male | 9 | 0 | 2006 | 12 | 35 | 2017 | Princeton, Institute for Advanced Study | 2005 |
106 | Tremonti, Christina Ann | THE JOHNS HOPKINS UNIVERSITY | 2003 | female | 1 | 0 | 2003 | 2 | 18 | 2016 | University of Arizona | 2005 |
# Gaspar Bakos | Smithsonian Astrophysical Observatory | 2004 |
295 | Berger, Edo | California Institute of Technology | 2004 | male | 14 | 28 | 2014 | 47 | 180 | 2017 | Carnegie Institute of Washington | 2004 |
## Joseph Hennawi | University of California, Berkeley | 2004 |
260 | Johnson, Kelsey E. | University of Colorado at Boulder | 2001 | female | 6 | 8 | 2015 | 8 | 71 | 2017 | University of Wisconsin - Madison | 2004 |
# Lisa Kewley | University of Hawaii | 2004 |
96 | Mukadam, Anjum Shagufta | THE UNIVERSITY OF TEXAS AT AUSTIN | 2004 | male | 6 | 9 | 2016 | 19 | 42 | 2017 | University of Washington | 2004 |
# Masami Ouchi | Space Telescope Science Institute | 2004 |
79 | Peiris, Hiranya Vajramani | PRINCETON UNIVERSITY | 2003 | male | 5 | 8 | 2013 | 9 | 100 | 2017 | University of Chicago | 2004 |
183 | Sheppard, Scott S. | UNIVERSITY OF HAWAI'I | 2004 | male | 7 | 17 | 2016 | 15 | 43 | 2017 | Carnegie Institute of Washington | 2004 |
17 | Socrates, Aristotle | University of California, nta Barbara, California, USA | 2004 | male | 2 | 10 | 2013 | 5 | 19 | 2015 | Princeton University | 2004 |
## Joshua Winn | Harvard College Observatory | 2004 |
291 | Zheng, Zheng | THE OHIO STATE UNIVERSITY | 2004 | male | 12 | 27 | 2017 | 18 | 115 | 2017 | Princeton, Institute for Advanced Study | 2004 |
# Avishay Gal-Yam | California Institute of Technology | 2003 |
227 | Geha, Marla | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 2003 | female | 5 | 9 | 2015 | 26 | 79 | 2017 | Carnegie | 2003 |
282 | Harris, Jason Robert | University of California, Santa Cruz | 2000 | male | 3 | 12 | 2014 | 8 | 89 | 2015 | University of Arizona | 2003 |
141 | Ho, Wynn | Cornell University | 2003 | male | 7 | 23 | 2017 | 11 | 48 | 2017 | Stanford University | 2003 |
228 | Kuchner, Marc Jason | California Institute of Technology | 2001 | male | 5 | 12 | 2017 | 9 | 79 | 2017 | Princeton University | 2003 |
# Darren Madgwick | Lawrence Berkeley National Laboratory | 2003 |
90 | Muno, Michael Patrick | MASSACHUSETTS INSTITUTE OF TECHNOLOGY | 2002 | male | 9 | 21 | 2009 | 18 | 45 | 2014 | University of California, Los Angles | 2003 |
249 | Newman, Jeffrey Allen | UNIVERSITY OF CALIFORNIA, BERKELEY | 2000 | male | 4 | 7 | 2015 | 7 | 163 | 2017 | Lawrence Berkeley National Laboratory | 2003 |
11 | Smith, Nathan I. | UNIVERSITY OF MINNESOTA | 2002 | male | 19 | 78 | 2017 | 39 | 203 | 2017 | University of Colorado | 2003 |
# Tommaso Treu | University of California, Los Angles | 2003 |
139 | Wechsler, Risa H. | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 2001 | female | 3 | 3 | 2006 | 4 | 170 | 2017 | University of Chicago | 2003 |
165 | Yu, Qingjuan | PRINCETON UNIVERSITY | 2002 | female | 9 | 14 | 2016 | 14 | 32 | 2016 | University of California, Berkeley | 2003 |
13 | Bullock, James Steven | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 1999 | male | 3 | 11 | 2010 | 6 | 148 | 2017 | Center for Astrophysics | 2002 |
270 | Chen, Hsiao-Wen | STATE UNIVERSITY OF NEW YORK AT STONY BROOK | 1999 | female | 9 | 39 | 2016 | 16 | 178 | 2017 | Massachusetts Institute of Technology | 2002 |
218 | Dalal, Neal | UNIVERSITY OF CALIFORNIA, SAN DIEGO | 2002 | male | 8 | 8 | 2010 | 16 | 40 | 2017 | Princeton, Institute for Advanced Study | 2002 |
# Jarrod Hurley | American Museum of Natural History | 2002 |
# Robert Hynes | University of Texas | 2002 |
## Inese Ivans | California Institute of Technology | 2002 |
