 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 29 | Kashiv, Yoav | THE UNIVERSITY OF CHICAGO | 2004 | male | 1 | 1 | 2010 | 1 | 4 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
 31 | Kargalstev, Oleg | Pennsylvania State University | 2004 | male | 1 | 0 | 2004 | 1 | 0 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 32 | Noel-Storr, Jacob | COLUMBIA UNIVERSITY | 2004 | male | 3 | 1 | 2007 | 5 | 13 | 2014 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 3 | 0 | 2 | 1 | 3 | 1 | 3 | 0 | 2 | 0 | 1 | 0 | 0 |
 33 | Splaver, Eric Michael | PRINCETON UNIVERSITY | 2004 | male | 2 | 1 | 2005 | 4 | 3 | 2006 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 35 | Afshordi, Niyayesh | PRINCETON UNIVERSITY | 2004 | female | 3 | 0 | 2004 | 4 | 2 | 2011 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |
 36 | Lim, Eugene A. | THE UNIVERSITY OF CHICAGO | 2004 | male | 1 | 4 | 2015 | 5 | 33 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 3 | 2 | 2 | 2 | 4 | 3 | 3 | 2 | 4 | 4 | 4 | 2 | 0 |
 37 | Selman, Fernando J. | California Institute of Technology, California, USA | 2004 | male | 4 | 3 | 2013 | 9 | 25 | 2016 | 2 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 4 | 1 | 2 | 0 | 0 | 2 | 2 | 0 | 3 | 4 | 3 | 0 | 5 | 1 | 1 | 1 | 2 | 3 |
 42 | Simcoe, Robert Andrew | California Institute of Technology, California, USA | 2004 | male | 4 | 6 | 2013 | 6 | 44 | 2017 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 2 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 3 | 1 | 5 | 1 | 0 | 1 | 2 | 8 | 5 | 8 | 4 | 4 | 2 |
 48 | Savage, Chandra Shannon | THE UNIVERSITY OF ARIZONA | 2004 | male | 4 | 5 | 2009 | 11 | 19 | 2016 | 0 | 0 | 0 | 1 | 0 | 3 | 1 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 3 | 1 | 5 | 3 | 3 | 3 | 0 | 2 | 3 | 1 | 2 | 0 | 1 | 0 | 1 |
 63 | Dai, Xinyu | Pennsylvania State University | 2004 | male | 3 | 16 | 2015 | 12 | 84 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 1 | 2 | 3 | 3 | 2 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 2 | 2 | 6 | 4 | 4 | 5 | 8 | 5 | 11 | 5 | 10 | 9 | 4 | 10 | 5 |
