n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
118 | Ogliore, Ryan Christopher | California Institute of Technology | 2007 | male | 1 | 9 | 2015 | 2 | 37 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 2 | 1 | 0 | 1 | 0 |  0 | 1 | 0 | 0 | 0 | 1 | 5 | 3 | 1 | 1 | 6 | 1 | 15 | 2 | 2 |
119 | Vass, Ileana Magdalena | University of Florida | 2007 | female | 1 | 2 | 2009 | 3 | 2 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
120 | Schmidt, Samuel J. | University of Pittsburgh | 2007 | male | 2 | 3 | 2015 | 3 | 28 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 |  0 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 1 | 4 | 5 | 2 | 8 | 3 |
121 | Brenneman, Laura West | University of Maryland, College Park | 2007 | female | 4 | 8 | 2014 | 9 | 36 | 2017 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 2 | 0 | 1 | 1 | 2 | 2 | 0 | 0 |  1 | 1 | 1 | 2 | 1 | 3 | 0 | 4 | 1 | 3 | 5 | 5 | 11 | 4 | 1 |
122 | Bai, Lei | The University of Arizona | 2007 | male | 6 | 6 | 2014 | 13 | 19 | 2014 | 0 | 0 | 0 | 0 | 3 | 3 | 1 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 0 |  0 | 0 | 6 | 0 | 3 | 4 | 4 | 4 | 2 | 1 | 2 | 3 | 3 | 0 | 0 |
123 | Lau, Judy M. | Princeton University | 2007 | female | 2 | 0 | 2007 | 3 | 21 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 2 | 7 | 1 | 2 | 1 | 1 | 3 |
124 | Saintonge, Amelie | Cornell University | 2007 | female | 4 | 9 | 2016 | 9 | 79 | 2017 | 0 | 0 | 0 | 2 | 0 | 2 | 3 | 0 | 0 | 3 | 1 | 1 | 0 | 0 | 1 |  1 | 0 | 0 | 4 | 0 | 4 | 7 | 3 | 17 | 11 | 11 | 7 | 7 | 5 | 8 |
125 | Boesenberg, Joseph S. | Rutgers The State University of New Jersey - New Brunswick | 2007 | male | 1 | 2 | 2012 | 2 | 5 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1 |
126 | Islam, Tanim | University of Virginia | 2007 | male | 2 | 3 | 2014 | 2 | 3 | 2014 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 |
127 | McEntaffer, Randall L. | University of Colorado at Boulder | 2007 | male | 1 | 5 | 2013 | 2 | 15 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 2 | 1 | 3 | 2 | 2 | 3 |
128 | Marsteller, Brian Elliott | Michigan State University | 2007 | male | 2 | 1 | 2009 | 11 | 3 | 2009 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 3 | 2 | 5 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
129 | Marshall, Jason A. | Cornell University | 2007 | male | 3 | 3 | 2015 | 19 | 36 | 2017 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 1 | 2 | 4 | 12 | 3 | 4 | 9 | 3 | 3 | 4 | 1 | 7 | 1 |
130 | Gelfand, Joseph David | Harvard University | 2007 | male | 7 | 5 | 2015 | 14 | 25 | 2017 | 0 | 0 | 1 | 2 | 0 | 4 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 2 | 0 |  0 | 0 | 2 | 5 | 3 | 4 | 1 | 2 | 3 | 2 | 1 | 2 | 2 | 5 | 4 |
131 | Horne, David | The University of Toledo | 2007 | male | 1 | 2 | 2012 | 1 | 4 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 0 |
132 | Schuster, Michael Thomas | University of Minnesota | 2007 | male | 2 | 1 | 2009 | 5 | 9 | 2015 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 1 | 3 | 0 | 3 | 0 | 1 | 1 | 1 | 0 | 3 | 0 |
133 | Kominsky, Paul J. | University of Michigan | 2007 | male | 1 | 0 | 2007 | 1 | 0 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
134 | Nunes, Steven Michael | The Catholic University of America | 2007 | male | 1 | 0 | 2007 | 4 | 0 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
135 | Parrish, Ian Joel | Princeton University | 2007 | male | 4 | 7 | 2012 | 4 | 28 | 2016 | 0 | 0 | 0 | 1 | 0 | 3 | 2 | 1 | 2 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 3 | 3 | 4 | 3 | 3 | 9 | 2 | 2 | 0 | 2 |
136 | Strader, Jay | University of California, Santa Cruz | 2007 | male | 11 | 15 | 2016 | 38 | 148 | 2017 | 1 | 3 | 3 | 1 | 1 | 2 | 2 | 1 | 0 | 2 | 4 | 1 | 1 | 3 | 1 |  1 | 5 | 7 | 8 | 9 | 8 | 6 | 11 | 4 | 14 | 17 | 11 | 24 | 25 | 29 |
137 | Truch, Matthew David Patey | Brown University | 2007 | male | 1 | 2 | 2009 | 1 | 34 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 4 | 12 | 8 | 5 | 2 | 0 | 3 | 0 | 0 |
138 | Walker, Matthew G. | University of Michigan | 2007 | male | 6 | 14 | 2016 | 12 | 125 | 2017 | 0 | 0 | 0 | 0 | 3 | 3 | 1 | 4 | 2 | 2 | 0 | 0 | 2 | 2 | 1 |  0 | 0 | 0 | 1 | 6 | 5 | 5 | 8 | 6 | 5 | 5 | 6 | 18 | 17 | 37 |
139 | Rothstein, David Mark | Cornell University | 2007 | male | 4 | 1 | 2008 | 7 | 5 | 2009 | 1 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 0 | 2 | 1 | 2 | 2 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
140 | Sirko, Edwin | Princeton University | 2007 | male | 6 | 0 | 2007 | 8 | 0 | 2007 | 0 | 2 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 3 | 2 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
141 | Bulow, Renee | University of California, San Diego | 2007 | female | 3 | 0 | 2007 | 3 | 0 | 2007 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
