n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1991 | fa_1992 | fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1991 | all_1992 | all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
30 | McLaughlin, Gail Catherine | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1996 | female | 6 | 10 | 2011 | 7 | 56 | 2017 | 0 | 0 | 0 | 0 | 1 | 5 | 1 | 0 | 3 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 1 | 5 | 1 | 1 | 4 | 0 | 0 | 2 | 4 | 4 | 2 | 6 | 2 | 5 | 4 | 1 | 3 | 5 | 1 | 2 | 1 | 7 |
31 | Seon, Jongho | THE UNIVERSITY OF IOWA. | 1996 | male | 5 | 6 | 2001 | 6 | 19 | 2015 | 0 | 0 | 0 | 0 | 2 | 3 | 1 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 2 | 3 | 1 | 1 | 1 | 4 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 2 | 2 | 0 |
32 | Hu, Xihai | RICE UNIVERSITY. | 1996 | male | 3 | 12 | 2015 | 5 | 35 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 2 | 3 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 1 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 4 | 0 | 1 | 0 | 4 | 4 | 3 | 5 | 1 | 0 | 0 | 0 | 2 | 3 | 3 | 4 |
33 | Yan, Lin | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | female | 5 | 15 | 2017 | 10 | 130 | 2017 | 0 | 0 | 0 | 1 | 1 | 3 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 3 | 2 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 |  0 | 1 | 0 | 1 | 2 | 6 | 1 | 1 | 4 | 2 | 1 | 3 | 1 | 8 | 8 | 7 | 13 | 3 | 10 | 12 | 10 | 10 | 7 | 6 | 7 | 6 |
34 | Zhang, Yali | TEMPLE UNIVERSITY. | 1996 | female | 9 | 125 | 2017 | 19 | 530 | 2017 | 0 | 2 | 3 | 0 | 0 | 4 | 2 | 4 | 5 | 2 | 4 | 8 | 6 | 7 | 14 | 9 | 8 | 6 | 2 | 3 | 10 | 6 | 6 | 8 | 5 | 9 |  2 | 2 | 5 | 1 | 2 | 7 | 3 | 4 | 9 | 24 | 9 | 14 | 24 | 15 | 43 | 22 | 21 | 40 | 29 | 14 | 33 | 30 | 21 | 29 | 43 | 76 |
35 | Alvarez, Donald L. | PRINCETON UNIVERSITY. | 1996 | male | 2 | 0 | 1996 | 2 | 3 | 2000 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
36 | Bowman, Harold Brian | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1996 | male | 1 | 0 | 1996 | 4 | 0 | 1996 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 3 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
37 | Chakrabarty, Deepto | Division of Physics, Mathematics, and Astronomy, California Insititute of Technology, Pasadena, CA | 1996 | male | 6 | 45 | 2017 | 11 | 193 | 2017 | 1 | 0 | 1 | 1 | 1 | 2 | 9 | 4 | 1 | 1 | 4 | 2 | 3 | 2 | 3 | 1 | 2 | 3 | 2 | 2 | 1 | 0 | 1 | 2 | 1 | 0 |  1 | 0 | 1 | 2 | 1 | 6 | 16 | 7 | 7 | 3 | 18 | 12 | 13 | 8 | 7 | 7 | 9 | 8 | 9 | 9 | 5 | 9 | 8 | 13 | 9 | 12 |
38 | Dorman, Victoria | PRINCETON UNIVERSITY. | 1996 | female | 4 | 0 | 1996 | 6 | 0 | 1996 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
39 | Newton, Elizabeth Kay | UNIVERSITY OF ALABAMA IN HUNTSVILLE. | 1996 | female | 3 | 1 | 1997 | 4 | 3 | 2001 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
