n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
161 | Kulas, Kristin Rose | University of California, Los Angeles | 2013 | female | 3 | 0 | 2013 | 4 | 4 | 2015 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 2 | 2 | 0 |
162 | Patthoff, D. Alex | University of Idaho | 2013 | male | 2 | 0 | 2013 | 2 | 1 | 2018 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |
163 | Lung, Kevin Joseph | University of California, Los Angeles | 2013 | male | 2 | 0 | 2013 | 17 | 4 | 2014 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 1 | 0 | 4 | 6 | 6 | 4 | 0 | 0 |
164 | Visnjic, Catherine | Princeton University | 2013 | female | 1 | 0 | 2013 | 2 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
165 | Shchedrin, Gavriil | Michigan State University | 2013 | male | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
166 | Delgado, Jennifer Amanda | University of Minnesota | 2013 | female | 2 | 0 | 2013 | 4 | 0 | 2018 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  1 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
167 | Miller, Godfrey E. | University of Pennsylvania | 2013 | male | 1 | 0 | 2013 | 6 | 5 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  1 | 0 | 0 | 1 | 2 | 2 | 2 | 2 | 1 |
168 | Kim, Jihun | The University of Arizona | 2013 | male | 9 | 4 | 2018 | 95 | 137 | 2018 | 1 | 2 | 2 | 2 | 0 | 2 | 1 | 0 | 0 |  23 | 13 | 8 | 15 | 17 | 19 | 10 | 32 | 37 |
169 | Zhang, Xi | California Institute of Technology | 2013 | None | 39 | 32 | 2018 | 179 | 133 | 2018 | 5 | 6 | 6 | 6 | 5 | 11 | 7 | 6 | 9 |  30 | 26 | 24 | 27 | 38 | 34 | 34 | 36 | 30 |
170 | Zhang, He | Michigan State University | 2013 | male | 29 | 8 | 2017 | 152 | 97 | 2018 | 8 | 5 | 4 | 2 | 4 | 6 | 2 | 2 | 2 |  30 | 27 | 17 | 24 | 29 | 25 | 22 | 30 | 21 |
171 | Kelleher, Adam Scott | The University of North Carolina at Chapel Hill | 2013 | male | 1 | 0 | 2013 | 2 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
172 | Namba, Ryo | University of Minnesota | 2013 | male | 3 | 1 | 2016 | 7 | 13 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 |  0 | 0 | 0 | 1 | 3 | 3 | 3 | 4 | 4 |
173 | Hong, Ting | California Institute of Technology | 2013 | None | 4 | 0 | 2013 | 29 | 11 | 2016 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 5 | 14 | 10 | 7 | 3 | 1 |
174 | Singer, Kelsi Nab | Washington University in St. Louis | 2013 | female | 3 | 1 | 2018 | 7 | 24 | 2018 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 0 |  1 | 2 | 0 | 1 | 1 | 2 | 1 | 2 | 9 |
175 | Varlotta, Angelo | Purdue University | 2013 | male | 1 | 0 | 2013 | 48 | 22 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 11 | 6 | 13 | 9 | 9 | 11 | 8 | 3 |
176 | Pan, Tony Shih Arng | Harvard University | 2013 | male | 6 | 0 | 2013 | 6 | 0 | 2013 | 0 | 0 | 0 | 0 | 3 | 3 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 3 | 3 | 0 | 0 | 0 |
177 | Sedaghatpour, Fatemeh | University of Arkansas | 2013 | female | 3 | 1 | 2016 | 3 | 2 | 2016 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 1 |  0 | 1 | 0 | 0 | 0 | 2 | 0 | 1 | 1 |
178 | Fakhouri, Hannah Kathleen | University of California, Berkeley | 2013 | female | 1 | 1 | 2015 | 29 | 11 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 |  0 | 2 | 5 | 7 | 6 | 9 | 4 | 6 | 0 |
179 | Hotz, Michael T. | University of Washington | 2013 | male | 1 | 0 | 2013 | 6 | 2 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 3 | 2 | 0 | 1 | 0 | 0 | 2 |
180 | Tatar, Joulien Erdintch | University of California, Irvine | 2013 | male | 1 | 0 | 2013 | 1 | 32 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 14 |
181 | Dossett, Jason Nicholas | The University of Texas at Dallas | 2013 | male | 6 | 2 | 2015 | 9 | 3 | 2018 | 0 | 0 | 1 | 2 | 1 | 2 | 1 | 1 | 0 |  1 | 1 | 2 | 2 | 1 | 2 | 1 | 1 | 1 |
182 | Myers, Andrew Thomas | University of California, Berkeley | 2013 | male | 3 | 3 | 2016 | 5 | 4 | 2016 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 1 |  1 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 2 |
183 | Sherwin, Blake Daniel | Princeton University | 2013 | male | 5 | 2 | 2017 | 23 | 33 | 2018 | 1 | 0 | 0 | 1 | 2 | 1 | 0 | 1 | 0 |  1 | 0 | 1 | 9 | 4 | 8 | 6 | 10 | 9 |
184 | Barorws, Robert Scott | University of Arkansas | 2013 | male | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
185 | Dalessio, James Ruland | University of Delaware | 2013 | male | 3 | 0 | 2013 | 8 | 2 | 2018 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |  1 | 1 | 2 | 1 | 1 | 2 | 0 | 0 | 2 |
186 | Zeiger, Benjamin R. | University of Colorado at Boulder | 2013 | male | 3 | 0 | 2013 | 4 | 1 | 2014 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 |  1 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 |
187 | Rampy, Rachel A. | University of California, Santa Cruz | 2013 | female | 3 | 1 | 2015 | 3 | 1 | 2015 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 0 |  0 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 0 |
188 | Perez Munoz, Laura Maria | California Institute of Technology | 2013 | female | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
189 | Edgar, Lauren A. | California Institute of Technology | 2013 | female | 2 | 1 | 2014 | 12 | 16 | 2018 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |  1 | 1 | 0 | 1 | 0 | 9 | 9 | 4 | 2 |
190 | Brantseg, Thomas Felton | The University of Iowa | 2013 | male | 1 | 1 | 2014 | 4 | 4 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 2 | 2 | 0 | 0 |
191 | Landry, David | The University of Alabama in Huntsville | 2013 | male | 2 | 0 | 2013 | 5 | 1 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 3 | 0 | 0 | 0 |
192 | Nugent, Carolyn Rosemary | University of California, Los Angeles | 2013 | female | 3 | 3 | 2017 | 8 | 13 | 2018 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 1 |  0 | 0 | 0 | 0 | 6 | 2 | 3 | 4 | 2 |
193 | Belyaev, Mikhail Alexander | Princeton University | 2013 | male | 7 | 5 | 2018 | 8 | 5 | 2018 | 0 | 0 | 1 | 1 | 2 | 3 | 0 | 3 | 1 |  0 | 0 | 1 | 1 | 2 | 4 | 0 | 3 | 1 |
194 | Trombley, Christine M. | Rochester Institute of Technology | 2013 | female | 1 | 0 | 2013 | 9 | 4 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 2 | 1 | 1 | 4 | 1 | 1 | 2 | 1 |
195 | Goswami, Sanghamitra | Northwestern University | 2013 | female | 2 | 1 | 2014 | 3 | 1 | 2014 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 |  0 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 0 |
196 | Broiles, Thomas W. | The University of Texas at San Antonio | 2013 | male | 4 | 3 | 2016 | 5 | 20 | 2018 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 1 | 2 |  1 | 0 | 0 | 0 | 1 | 3 | 0 | 5 | 9 |
197 | Visbal, Elijah Francis | Harvard University | 2013 | male | 1 | 1 | 2014 | 2 | 1 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |
198 | Stickley, Nathaniel Roland | University of California, Riverside | 2013 | male | 2 | 1 | 2014 | 2 | 1 | 2014 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 |
199 | Todorov, Kamen O. | The Pennsylvania State University | 2013 | male | 5 | 3 | 2016 | 5 | 14 | 2018 | 0 | 0 | 2 | 0 | 1 | 2 | 2 | 0 | 1 |  0 | 0 | 2 | 0 | 1 | 2 | 6 | 3 | 3 |
200 | Furniss, Amy Kathryn | University of California, Santa Cruz | 2013 | female | 4 | 2 | 2015 | 59 | 49 | 2018 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 2 | 0 |  1 | 13 | 8 | 14 | 11 | 12 | 13 | 13 | 13 |
201 | Rudie, Gwen C. | California Institute of Technology | 2013 | female | 5 | 1 | 2017 | 16 | 13 | 2018 | 1 | 0 | 0 | 0 | 2 | 2 | 0 | 0 | 0 |  2 | 0 | 3 | 3 | 3 | 5 | 3 | 2 | 5 |
202 | Pavel, Michael D. | Boston University | 2013 | male | 5 | 1 | 2014 | 11 | 6 | 2017 | 0 | 0 | 0 | 1 | 3 | 1 | 1 | 0 | 0 |  0 | 1 | 0 | 1 | 7 | 2 | 2 | 0 | 2 |
203 | Russell, Damon Stuart | California Institute of Technology | 2013 | male | 2 | 0 | 2013 | 3 | 3 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 2 |
204 | Sheehy, Christopher D. | The University of Chicago | 2013 | male | 1 | 0 | 2018 | 5 | 13 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 1 | 2 | 4 | 5 | 3 |
205 | Yee, Jennifer C. | The Ohio State University | 2013 | female | 7 | 5 | 2016 | 41 | 51 | 2018 | 1 | 1 | 1 | 0 | 1 | 3 | 1 | 3 | 1 |  3 | 2 | 5 | 6 | 9 | 16 | 9 | 14 | 10 |
206 | Fayock, Brian | The University of Alabama in Huntsville | 2013 | male | 3 | 0 | 2013 | 3 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 |
207 | Noh, Yookyung | University of California, Berkeley | 2013 | None | 4 | 1 | 2014 | 6 | 1 | 2014 | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 0 |  0 | 1 | 1 | 1 | 2 | 1 | 1 | 0 | 0 |
208 | Ostrach, Lillian Rose | Arizona State University | 2013 | female | 1 | 1 | 2015 | 6 | 3 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 |  0 | 1 | 0 | 1 | 1 | 3 | 1 | 1 | 1 |
209 | Cotto-Figueroa, Desiree | Ohio University | 2013 | female | 1 | 2 | 2016 | 2 | 3 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 1 |
210 | Hanley, Jennifer | University of Arkansas | 2013 | female | 2 | 3 | 2017 | 12 | 15 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 |  1 | 7 | 1 | 0 | 1 | 2 | 1 | 7 | 5 |
211 | Richardson, Chris T. | Michigan State University | 2013 | male | 2 | 2 | 2016 | 5 | 4 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 |  0 | 0 | 0 | 0 | 1 | 4 | 1 | 0 | 2 |
212 | Chou, Jason Chuan-Chih | University of Michigan | 2013 | male | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
213 | Love, Christina Elena | Temple University | 2013 | female | 1 | 0 | 2013 | 4 | 2 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 3 | 0 | 2 | 0 |
214 | Ginsburg, Adam G. | University of Colorado at Boulder | 2013 | male | 7 | 5 | 2018 | 29 | 43 | 2018 | 0 | 1 | 0 | 2 | 1 | 3 | 0 | 2 | 2 |  1 | 3 | 6 | 6 | 3 | 10 | 6 | 12 | 12 |
215 | Farnsworth, Damon Patrick | University of Minnesota | 2013 | male | 3 | 0 | 2013 | 5 | 1 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 |  1 | 0 | 1 | 1 | 0 | 2 | 0 | 0 | 0 |
216 | Adande, Gilles Rapotchombo | The University of Arizona | 2013 | male | 5 | 0 | 2013 | 5 | 1 | 2015 | 0 | 0 | 1 | 0 | 1 | 3 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 3 | 0 | 1 | 0 |
217 | Moore, Alexander | University of Rochester | 2013 | male | 5 | 1 | 2014 | 17 | 4 | 2015 | 0 | 1 | 0 | 1 | 0 | 3 | 1 | 0 | 0 |  1 | 8 | 3 | 1 | 0 | 4 | 3 | 1 | 0 |
218 | Miller, Charles Frederick | New Mexico State University | 2013 | male | 5 | 1 | 2016 | 13 | 9 | 2018 | 2 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 1 |  4 | 1 | 0 | 3 | 1 | 4 | 1 | 5 | 3 |
219 | Hayden, Brian T. | University of Notre Dame | 2013 | male | 4 | 0 | 2013 | 6 | 13 | 2018 | 0 | 0 | 2 | 0 | 0 | 2 | 0 | 0 | 0 |  0 | 0 | 2 | 0 | 1 | 3 | 1 | 6 | 2 |
220 | Eimer, Joseph R. | The Johns Hopkins University | 2013 | male | 2 | 0 | 2013 | 3 | 4 | 2018 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 2 |
221 | Tarr, Lucas Adrian | Montana State University | 2013 | male | 3 | 3 | 2017 | 5 | 4 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 3 | 1 | 1 | 0 |
222 | Newman, Sarah F. | University of California, Berkeley | 2013 | female | 6 | 1 | 2014 | 19 | 6 | 2017 | 1 | 1 | 0 | 0 | 2 | 2 | 1 | 0 | 0 |  2 | 1 | 0 | 5 | 4 | 7 | 3 | 2 | 0 |
223 | Holincheck, Anthony | George Mason University | 2013 | male | 1 | 1 | 2016 | 2 | 2 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 2 |
224 | Grier, Catherine J. | The Ohio State University | 2013 | female | 7 | 4 | 2018 | 14 | 25 | 2018 | 1 | 0 | 0 | 1 | 2 | 3 | 0 | 1 | 1 |  2 | 0 | 0 | 2 | 4 | 6 | 2 | 4 | 6 |
225 | Bleem, Lindsey Ellen | The University of Chicago | 2013 | female | 2 | 2 | 2015 | 44 | 43 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 2 | 0 |  1 | 3 | 7 | 8 | 11 | 14 | 8 | 13 | 14 |
226 | Bezanson, Rachel | Yale University | 2013 | female | 6 | 2 | 2018 | 20 | 17 | 2018 | 0 | 1 | 0 | 1 | 1 | 3 | 0 | 1 | 1 |  0 | 2 | 2 | 4 | 6 | 6 | 4 | 4 | 4 |
227 | Porter, Simon Bernard | Arizona State University | 2013 | male | 4 | 2 | 2018 | 10 | 15 | 2018 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 1 |  0 | 1 | 1 | 2 | 4 | 2 | 1 | 4 | 8 |
228 | Chesny, David | Florida Institute of Technology | 2013 | male | 2 | 3 | 2017 | 3 | 7 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 1 |  0 | 0 | 0 | 0 | 0 | 3 | 2 | 2 | 2 |
229 | McKay, Adam Joseph | New Mexico State University | 2013 | male | 3 | 4 | 2018 | 8 | 10 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 1 |  1 | 0 | 0 | 2 | 1 | 4 | 3 | 1 | 3 |
230 | Gong, Hao | University of Maryland, College Park | 2013 | male | 5 | 0 | 2013 | 9 | 5 | 2018 | 0 | 1 | 0 | 1 | 0 | 3 | 0 | 0 | 0 |  2 | 1 | 0 | 1 | 1 | 4 | 3 | 0 | 1 |
231 | Grcevich, Jana | Columbia University | 2013 | female | 3 | 1 | 2016 | 8 | 6 | 2016 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 |  0 | 1 | 2 | 1 | 2 | 2 | 0 | 3 | 3 |
232 | Spitler, Laura Grace | Cornell University | 2013 | female | 2 | 3 | 2018 | 5 | 36 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 1 |  0 | 0 | 0 | 1 | 1 | 3 | 4 | 11 | 8 |
233 | Narayan, Gautham Siddharth | Harvard University | 2013 | male | 4 | 2 | 2018 | 24 | 17 | 2018 | 0 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 2 |  3 | 1 | 5 | 7 | 4 | 4 | 6 | 6 | 4 |
234 | Park, Jaehong | University of Rochester | 2013 | male | 20 | 13 | 2018 | 49 | 48 | 2018 | 7 | 1 | 3 | 1 | 5 | 3 | 5 | 3 | 3 |  21 | 2 | 7 | 7 | 8 | 4 | 10 | 14 | 11 |
235 | Micheli, Marco | University of Hawai'i at Manoa | 2013 | male | 5 | 4 | 2018 | 16 | 27 | 2018 | 2 | 0 | 0 | 0 | 1 | 2 | 2 | 1 | 1 |  2 | 1 | 0 | 2 | 3 | 8 | 6 | 7 | 6 |
236 | Matthews, Tristan G. | Northwestern University | 2013 | None | 1 | 1 | 2014 | 5 | 8 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |  0 | 1 | 0 | 1 | 0 | 3 | 3 | 1 | 2 |
237 | Beals, Matthew Jacob | Michigan Technological University | 2013 | male | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
238 | Rashkov, Valery | UC Santa Cruz | 2013 | male | 3 | 1 | 2014 | 6 | 1 | 2014 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 3 | 1 | 0 | 0 |
239 | Chizek, Malynda Rebecca | New Mexico State University | 2013 | female | 1 | 0 | 2013 | 1 | 1 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 |
240 | Line, Michael R. | California Institute of Technology | 2013 | male | 8 | 6 | 2017 | 12 | 34 | 2018 | 0 | 0 | 1 | 1 | 2 | 4 | 2 | 1 | 2 |  1 | 0 | 1 | 1 | 2 | 7 | 8 | 6 | 10 |
241 | Wong, Kenneth Christopher | The University of Arizona | 2013 | male | 9 | 6 | 2018 | 21 | 23 | 2018 | 0 | 0 | 1 | 3 | 2 | 3 | 1 | 2 | 0 |  2 | 1 | 1 | 6 | 4 | 7 | 5 | 4 | 3 |
242 | Mesler, Robert A., III | The University of New Mexico | 2013 | male | 5 | 1 | 2014 | 7 | 2 | 2014 | 1 | 0 | 0 | 0 | 2 | 2 | 1 | 0 | 0 |  1 | 0 | 1 | 1 | 2 | 2 | 2 | 0 | 0 |
243 | Kannan, Venkateshan | Rutgers The State University of New Jersey - New Brunswick | 2013 | None | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
244 | Marcucci, Emma Cordts | University of Colorado at Boulder | 2013 | female | 2 | 1 | 2014 | 3 | 1 | 2014 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 0 |
245 | Ragozzine, Brett | Ohio University | 2013 | male | 2 | 0 | 2013 | 7 | 0 | 2013 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  3 | 2 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |
246 | Burch, Benjamin P. | Washington University in St. Louis | 2013 | male | 2 | 0 | 2013 | 3 | 1 | 2014 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 2 | 1 | 0 | 0 |
247 | Tseng, Chien-Yao | California Institute of Technology | 2013 | male | 3 | 0 | 2013 | 5 | 0 | 2013 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |  1 | 1 | 1 | 0 | 0 | 2 | 0 | 0 | 0 |
248 | Hoffman, Samantha Leigh | Texas A&amp;M University | 2013 | female | 1 | 0 | 2013 | 2 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
249 | Das, Indrajit | George Mason University | 2013 | male | 4 | 2 | 2016 | 5 | 2 | 2016 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 1 |  0 | 0 | 0 | 2 | 2 | 1 | 1 | 0 | 1 |
250 | Berkowitz, Evan Scott | University of Maryland, College Park | 2013 | male | 1 | 3 | 2016 | 4 | 5 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 2 |  0 | 0 | 0 | 1 | 2 | 1 | 1 | 2 | 2 |
251 | Owen, Dane Patrick | Dartmouth College | 2013 | male | 1 | 0 | 2013 | 1 | 1 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 |
252 | Blazek, Jonathan Andrew | University of California, Berkeley | 2013 | male | 3 | 4 | 2017 | 3 | 31 | 2018 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 1 |  0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 12 |
253 | Armstrong, Eve | University of California, San Diego | 2013 | female | 3 | 1 | 2017 | 6 | 1 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 3 | 1 | 2 | 0 | 0 | 0 |
254 | Daigle, Stephen Michael | The University of North Carolina at Chapel Hill | 2013 | male | 1 | 1 | 2016 | 5 | 1 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 |  0 | 0 | 2 | 0 | 1 | 2 | 0 | 0 | 1 |
255 | Schmidt, Carl A. | Boston University | 2013 | male | 6 | 2 | 2018 | 9 | 8 | 2018 | 0 | 2 | 1 | 0 | 1 | 2 | 0 | 1 | 1 |  1 | 3 | 1 | 0 | 2 | 2 | 1 | 4 | 2 |
256 | Peruta, Carolyn Cynthia | Michigan State University | 2013 | female | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
257 | Pober, Jonathan | University of California, Berkeley | 2013 | male | 4 | 6 | 2016 | 13 | 28 | 2018 | 0 | 0 | 0 | 0 | 1 | 3 | 2 | 2 | 2 |  1 | 1 | 0 | 1 | 4 | 6 | 3 | 8 | 14 |
258 | Williams, Christopher Lee | The University of Chicago | 2013 | male | 2 | 0 | 2013 | 54 | 64 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  3 | 3 | 7 | 13 | 15 | 13 | 16 | 27 | 16 |
259 | Zrake, Jonathan J. | New York University | 2013 | male | 4 | 4 | 2018 | 4 | 10 | 2018 | 0 | 0 | 0 | 0 | 1 | 3 | 1 | 0 | 2 |  0 | 0 | 0 | 0 | 1 | 3 | 1 | 3 | 4 |
260 | Rosenfield, Philip A. | University of Washington | 2013 | male | 2 | 4 | 2018 | 12 | 14 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 1 |  0 | 0 | 2 | 1 | 6 | 3 | 6 | 3 | 1 |
261 | Zhang, Xi | California Institute of Technology | 2013 | None | 39 | 32 | 2018 | 179 | 133 | 2018 | 5 | 6 | 6 | 6 | 5 | 11 | 7 | 6 | 9 |  30 | 26 | 24 | 27 | 38 | 34 | 34 | 36 | 30 |
262 | Bans, Alissa Sue | The University of Chicago | 2013 | female | 2 | 1 | 2015 | 3 | 4 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 0 | 2 | 2 |
263 | Svedin, Andreas | Columbia University | 2013 | male | 2 | 0 | 2013 | 3 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |
264 | Jaynes, Allison | University of New Hampshire | 2013 | female | 2 | 4 | 2018 | 3 | 50 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 2 | 1 |  0 | 0 | 0 | 0 | 0 | 3 | 8 | 5 | 21 |
265 | McClelland, Colin M. | University of Notre Dame | 2013 | male | 3 | 0 | 2013 | 5 | 1 | 2015 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0 |  1 | 0 | 1 | 0 | 1 | 2 | 0 | 1 | 0 |
266 | Russell, Christopher Michael Post | University of Delaware | 2013 | male | 2 | 2 | 2017 | 10 | 19 | 2018 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 |  1 | 1 | 1 | 2 | 3 | 2 | 3 | 4 | 8 |
