 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1969 |  fa_1970 |  fa_1971 |  fa_1972 |  fa_1973 |  fa_1974 |  fa_1975 |  fa_1976 |  fa_1977 |  fa_1978 |  fa_1979 |  fa_1980 |  fa_1981 |  fa_1982 |  fa_1983 |  fa_1984 |  fa_1985 |  fa_1986 |  fa_1987 |  fa_1988 |  fa_1989 |  fa_1990 |  fa_1991 |  fa_1992 |  fa_1993 |  fa_1994 |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1969 |  all_1970 |  all_1971 |  all_1972 |  all_1973 |  all_1974 |  all_1975 |  all_1976 |  all_1977 |  all_1978 |  all_1979 |  all_1980 |  all_1981 |  all_1982 |  all_1983 |  all_1984 |  all_1985 |  all_1986 |  all_1987 |  all_1988 |  all_1989 |  all_1990 |  all_1991 |  all_1992 |  all_1993 |  all_1994 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 94 | Smith, M. L. | Princeton Univ., NJ. | 1974 | None | 3 | 13 | 2016 | 4 | 255 | 2017 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 2 | 0 | 2 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 2 | 1 | 2 | 1 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 2 | 2 | 12 | 9 | 7 | 3 | 8 | 3 | 24 | 13 | 27 | 25 | 29 | 30 | 23 |
 97 | Ford, L. H. | Princeton Univ., NJ. | 1974 | None | 1 | 55 | 2016 | 1 | 109 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 2 | 1 | 1 | 0 | 0 | 4 | 0 | 1 | 3 | 1 | 3 | 0 | 2 | 1 | 1 | 1 | 1 | 0 | 3 | 3 | 2 | 2 | 1 | 2 | 1 | 2 | 0 | 1 | 3 | 0 | 2 | 1 | 0 | 2 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 2 | 1 | 2 | 1 | 0 | 5 | 0 | 1 | 3 | 3 | 4 | 2 | 2 | 1 | 1 | 2 | 6 | 1 | 5 | 3 | 4 | 4 | 3 | 3 | 2 | 5 | 0 | 4 | 5 | 1 | 3 | 3 | 2 | 3 | 5 | 1 | 2 | 2 | 3 | 3 |
 100 | Lightman, A. P. | California Institute of Technology, Pasadena. | 1974 | None | 4 | 32 | 1993 | 6 | 61 | 1993 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 3 | 6 | 2 | 2 | 3 | 4 | 0 | 1 | 0 | 0 | 2 | 2 | 3 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 4 | 3 | 6 | 3 | 9 | 4 | 2 | 6 | 5 | 3 | 6 | 1 | 0 | 2 | 3 | 4 | 2 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 103 | Rosen, R. A. | Columbia Univ., New York, NY. | 1974 | None | 3 | 6 | 2013 | 3 | 34 | 2016 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 5 | 2 | 3 | 4 | 3 | 3 | 1 | 4 | 3 |
 116 | Butler, Dennis Samuel | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1974 | male | 2 | 12 | 1994 | 4 | 22 | 2003 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 1 | 2 | 1 | 0 | 3 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 2 | 1 | 0 | 4 | 3 | 2 | 0 | 4 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 127 | Thuan, Trinh Xuan | PRINCETON UNIVERSITY. | 1974 | female | 2 | 50 | 2016 | 6 | 190 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 4 | 2 | 2 | 0 | 4 | 0 | 2 | 2 | 1 | 3 | 2 | 1 | 2 | 0 | 1 | 0 | 1 | 2 | 0 | 1 | 1 | 1 | 2 | 1 | 3 | 0 | 1 | 2 | 0 | 2 | 3 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 4 | 6 | 4 | 5 | 2 | 4 | 1 | 2 | 3 | 4 | 4 | 3 | 4 | 3 | 1 | 2 | 2 | 2 | 5 | 0 | 6 | 2 | 7 | 7 | 11 | 9 | 7 | 11 | 7 | 9 | 9 | 6 | 8 | 5 | 2 | 4 | 6 | 3 | 4 | 0 | 3 | 0 | 6 |
 130 | Zurek, Richard William | UNIVERSITY OF WASHINGTON. | 1974 | male | 1 | 17 | 2017 | 2 | 68 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 2 | 1 | 0 | 0 | 2 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 1 | 1 | 2 | 1 | 0 | 1 | 2 | 2 | 1 | 3 | 1 | 1 | 0 | 1 | 8 | 3 | 1 | 4 | 4 | 1 | 2 | 2 | 0 | 0 | 3 | 0 | 3 | 2 | 4 | 2 | 1 | 1 | 2 | 0 | 1 | 0 | 4 | 0 |
 131 | Alschuler, William Richard | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1974 | male | 1 | 1 | 1975 | 2 | 1 | 1975 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 137 | Lennard, W. N. | California Institute of Technology, Pasadena. | 1974 | None | 2 | 2 | 2011 | 2 | 5 | 2013 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 2 | 0 | 0 | 0 |
 142 | Sweeney, Mary Ann | COLUMBIA UNIVERSITY. | 1974 | female | 1 | 2 | 1978 | 3 | 4 | 2006 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 143 | Hanson, Robert Bruce | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1974 | male | 1 | 10 | 2004 | 1 | 31 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 3 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 3 | 1 | 1 | 0 | 3 | 0 | 1 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 4 | 1 | 1 | 0 | 0 | 1 | 2 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 144 | Gregory, Stephen Albert | THE UNIVERSITY OF ARIZONA. | 1974 | male | 2 | 21 | 2000 | 6 | 44 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 2 | 1 | 2 | 0 | 0 | 1 | 4 | 0 | 1 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 4 | 1 | 2 | 4 | 2 | 4 | 1 | 1 | 2 | 5 | 0 | 2 | 1 | 3 | 1 | 5 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
 156 | Flannery, Brian Paul | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1974 | male | 2 | 13 | 1982 | 4 | 22 | 1982 | 0 | 0 | 0 | 0 | 1 | 1 | 3 | 1 | 2 | 2 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 3 | 2 | 3 | 3 | 4 | 4 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 165 | Rao, Neelamraju Kameswara | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1974 | None | 1 | 44 | 2016 | 6 | 124 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 3 | 3 | 2 | 1 | 0 | 2 | 1 | 3 | 0 | 0 | 4 | 0 | 1 | 6 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 1 | 1 | 2 | 2 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 3 | 0 | 6 | 5 | 2 | 2 | 3 | 4 | 1 | 5 | 4 | 3 | 8 | 3 | 3 | 8 | 2 | 4 | 2 | 5 | 3 | 3 | 3 | 4 | 2 | 3 | 4 | 4 | 2 | 1 | 2 | 2 | 3 | 4 | 2 | 2 | 2 | 2 | 2 |
 170 | Ferguson, Dale Curtis | THE UNIVERSITY OF ARIZONA. | 1974 | male | 6 | 13 | 1999 | 8 | 24 | 2013 | 0 | 0 | 2 | 1 | 1 | 2 | 0 | 3 | 2 | 2 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 2 | 3 | 0 | 3 | 2 | 2 | 2 | 2 | 4 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 |
 173 | Lee, D. L. | California Institute of Technology, Pasadena. | 1974 | None | 1 | 5 | 2011 | 3 | 35 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 7 | 3 | 1 | 3 | 1 | 5 | 1 | 2 | 2 | 1 | 0 |
 177 | Cudworth, Kyle Mccabe | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1974 | male | 6 | 34 | 1993 | 7 | 56 | 2013 | 0 | 0 | 1 | 1 | 1 | 3 | 2 | 4 | 4 | 1 | 5 | 0 | 0 | 0 | 0 | 2 | 3 | 2 | 1 | 3 | 0 | 3 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 3 | 2 | 4 | 4 | 1 | 5 | 0 | 0 | 0 | 1 | 3 | 3 | 5 | 1 | 3 | 1 | 3 | 2 | 1 | 3 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |
 179 | Pyenson, Lewis Robert | THE JOHNS HOPKINS UNIVERSITY. | 1974 | male | 1 | 3 | 2004 | 1 | 3 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 181 | Richstone, Douglas Orange | PRINCETON UNIVERSITY. | 1974 | male | 4 | 26 | 2004 | 6 | 116 | 2017 | 0 | 0 | 0 | 2 | 0 | 2 | 2 | 1 | 1 | 0 | 1 | 4 | 1 | 3 | 1 | 2 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 3 | 2 | 2 | 4 | 1 | 1 | 4 | 2 | 3 | 2 | 4 | 4 | 3 | 1 | 4 | 0 | 2 | 2 | 5 | 2 | 3 | 2 | 9 | 4 | 4 | 1 | 4 | 4 | 4 | 3 | 3 | 3 | 2 | 6 | 0 | 4 | 0 | 6 | 2 | 0 | 1 | 1 | 1 |
 193 | Thompson, Laird Alan | THE UNIVERSITY OF ARIZONA. | 1974 | male | 3 | 27 | 2009 | 5 | 62 | 2016 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 2 | 2 | 3 | 0 | 1 | 2 | 1 | 1 | 1 | 0 | 2 | 3 | 1 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 0 | 3 | 4 | 5 | 1 | 2 | 4 | 3 | 3 | 2 | 0 | 3 | 3 | 1 | 0 | 2 | 1 | 1 | 1 | 1 | 0 | 0 | 2 | 0 | 2 | 4 | 0 | 3 | 0 | 0 | 4 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 1 | 1 | 0 | 1 |
 201 | Callahan, Philip Sidney | California Institute of Technology | 1974 | male | 3 | 6 | 1978 | 3 | 32 | 2011 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 1 | 2 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 6 | 3 | 4 | 4 | 4 | 1 | 0 | 0 | 0 | 0 | 0 |
 214 | Shectman, Stephen Alan | California Institute of Technology | 1974 | male | 3 | 6 | 1996 | 4 | 112 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 1 | 0 | 0 | 2 | 5 | 2 | 3 | 1 | 3 | 1 | 2 | 1 | 2 | 2 | 2 | 2 | 0 | 1 | 1 | 7 | 1 | 0 | 2 | 1 | 1 | 1 | 1 | 2 | 4 | 5 | 2 | 3 | 4 | 4 | 4 | 4 | 5 | 8 | 8 | 11 |
 215 | Shaffer, David Bruce | California Institute of Technology | 1974 | male | 4 | 10 | 1999 | 15 | 67 | 2010 | 0 | 0 | 0 | 2 | 0 | 2 | 2 | 0 | 1 | 3 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 4 | 4 | 3 | 7 | 4 | 7 | 5 | 5 | 3 | 7 | 2 | 3 | 4 | 2 | 2 | 2 | 0 | 1 | 2 | 2 | 0 | 1 | 2 | 3 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
 216 | Steyer, Terry Russell | THE UNIVERSITY OF ARIZONA. | 1974 | male | 1 | 0 | 1974 | 2 | 0 | 1974 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 217 | Bieging, John Harold | California Institute of Technology | 1974 | male | 1 | 40 | 2016 | 2 | 134 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 2 | 2 | 0 | 1 | 1 | 2 | 1 | 4 | 1 | 1 | 0 | 2 | 3 | 0 | 2 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 4 | 2 | 3 | 3 | 3 | 4 | 8 | 5 | 5 | 5 | 5 | 2 | 4 | 4 | 4 | 4 | 2 | 4 | 1 | 1 | 2 | 3 | 3 | 2 | 4 | 5 | 3 | 2 | 0 | 4 | 2 | 2 | 2 | 6 | 2 | 3 | 0 | 5 | 2 | 2 | 3 |
 223 | Nanos, George Peter, Jr. | PRINCETON UNIVERSITY. | 1974 | male | 1 | 0 | 1974 | 1 | 0 | 1974 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 224 | Johnston, Russell Shayne | PRINCETON UNIVERSITY. | 1974 | male | 1 | 4 | 2015 | 5 | 9 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 2 | 1 |
 225 | Mather, J. C. | California Univ., Berkeley. | 1974 | None | 2 | 17 | 2008 | 3 | 82 | 2016 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 3 | 4 | 6 | 4 | 7 | 2 | 3 | 5 | 4 | 4 | 2 | 1 | 2 | 3 | 3 | 2 | 2 | 8 | 2 | 1 | 2 | 0 | 1 | 1 | 0 | 1 | 1 |
 229 | Baldwin, Jack Allen | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1974 | male | 3 | 30 | 2004 | 7 | 122 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 3 | 1 | 5 | 3 | 0 | 1 | 2 | 1 | 1 | 1 | 1 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 2 | 5 | 2 | 6 | 4 | 0 | 1 | 2 | 2 | 4 | 4 | 5 | 3 | 2 | 3 | 3 | 1 | 2 | 1 | 4 | 3 | 5 | 10 | 4 | 5 | 0 | 4 | 0 | 2 | 6 | 3 | 0 | 1 | 4 | 2 | 3 | 2 | 3 | 3 | 3 | 3 | 1 | 1 |
