n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
213 | Hannam, Mark D. | The University of North Carolina at Chapel Hill | 2003 | male | 2 | 16 | 2014 | 3 | 97 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 2 | 3 | 3 | 2 | 1 | 0 | 1 | 2 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 1 | 7 | 10 | 6 | 5 | 5 | 6 | 6 | 8 | 6 | 28 |
214 | Everett, John Eric | THE UNIVERSITY OF CHICAGO | 2003 | male | 3 | 9 | 2011 | 3 | 24 | 2015 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 3 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 1 | 2 | 1 | 5 | 3 | 0 | 5 | 2 | 1 | 2 | 1 | 1 | 0 |
215 | Noble, Scott Charles | The University of Texas at Austin | 2003 | male | 1 | 9 | 2016 | 1 | 25 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 2 | 1 | 1 | 1 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 2 | 2 | 2 | 1 | 2 | 3 | 1 | 3 | 2 | 4 |
216 | Sipior, Michael Shawn | The Pennsylvania State University | 2003 | male | 2 | 1 | 2004 | 4 | 7 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 |
217 | Visser, Dale William | Yale University | 2003 | male | 1 | 3 | 2008 | 9 | 14 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 2 | 2 | 2 | 2 | 1 | 4 | 1 | 5 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 |
218 | Hinkelman, Laura M. | THE PENNSYLVANIA STATE UNIVERSITY | 2003 | female | 1 | 0 | 2003 | 1 | 0 | 2003 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
219 | Wills-Davey, Meredith Jennings | MONTANA STATE UNIVERSITY | 2003 | female | 2 | 3 | 2009 | 4 | 11 | 2012 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 2 | 0 | 5 | 2 | 0 | 1 | 0 | 0 | 0 | 0 |
220 | Martin, John Carl | CASE WESTERN RESERVE UNIVERSITY | 2003 | male | 6 | 18 | 2016 | 15 | 60 | 2017 | 1 | 1 | 0 | 1 | 1 | 2 | 2 | 1 | 4 | 1 | 0 | 0 | 1 | 0 | 0 | 2 | 4 | 2 | 1 |  3 | 3 | 2 | 2 | 2 | 3 | 5 | 2 | 6 | 3 | 2 | 3 | 4 | 3 | 2 | 9 | 9 | 7 | 4 |
221 | Knudson, Adam | Carnegie Mellon University | 2003 | male | 2 | 0 | 2003 | 4 | 13 | 2011 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 3 | 4 | 0 | 2 | 0 | 5 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
222 | Winters, Wayne Francis, II | UNIVERSITY OF VIRGINIA | 2003 | male | 3 | 0 | 2003 | 4 | 2 | 2004 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
