n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
366 | Trippe, Margaret L. | Georgia State University | 2009 | female | 2 | 2 | 2011 | 6 | 13 | 2016 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 2 | 2 | 3 | 3 | 4 | 2 | 0 | 0 | 1 |
367 | Aluie, Hussein | The Johns Hopkins University | 2009 | male | 1 | 5 | 2017 | 2 | 6 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 0 | 0 | 0 |
368 | Grajek, Phillip R. | University of Michigan | 2009 | male | 1 | 0 | 2009 | 1 | 0 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
369 | Hoffman, Matthew J. | University of Maryland, College Park | 2009 | male | 2 | 3 | 2014 | 9 | 14 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 1 | 0 | 0 |  1 | 0 | 2 | 0 | 1 | 5 | 6 | 2 | 4 | 0 | 1 | 1 | 0 |
370 | Greenhagen, Benjamin Todd | University of California, Los Angeles | 2009 | male | 1 | 2 | 2016 | 1 | 27 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 1 | 5 | 1 | 4 | 3 | 1 | 5 | 4 |
371 | Temim, Tea | University of Minnesota | 2009 | female | 4 | 8 | 2017 | 7 | 17 | 2017 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 1 | 2 | 2 | 0 | 2 | 0 |  0 | 1 | 0 | 2 | 0 | 4 | 0 | 2 | 3 | 3 | 1 | 5 | 2 |
372 | Altheide, Travis S. | University of Arkansas | 2009 | male | 2 | 1 | 2010 | 7 | 3 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 5 | 1 | 1 | 0 | 0 | 0 | 1 | 0 |
373 | Wang, Linghua | University of California, Berkeley | 2009 | female | 14 | 31 | 2017 | 56 | 195 | 2017 | 1 | 1 | 2 | 0 | 4 | 6 | 1 | 2 | 5 | 4 | 4 | 7 | 6 |  8 | 8 | 9 | 6 | 9 | 16 | 28 | 17 | 23 | 32 | 23 | 33 | 26 |
374 | Yu, Young Sam | Rochester Institute of Technology | 2009 | male | 4 | 1 | 2012 | 11 | 20 | 2017 | 1 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  1 | 0 | 1 | 1 | 3 | 5 | 0 | 0 | 2 | 2 | 6 | 3 | 6 |
375 | Chamberlain, Leslie Prochaska | The University of North Carolina at Chapel Hill | 2009 | female | 1 | 0 | 2009 | 1 | 0 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
