n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
139 | Pothapragada, Sriharsha | University of Kansas | 2012 | male | 1 | 0 | 2012 | 3 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |
140 | Bell, Franziska | University of California, Berkeley | 2012 | female | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
141 | Williams, Peter Kelsey George | University of California, Berkeley | 2012 | male | 4 | 9 | 2017 | 21 | 42 | 2018 | 0 | 0 | 0 | 1 | 1 | 2 | 2 | 1 | 3 | 1 |  2 | 3 | 1 | 5 | 7 | 3 | 4 | 3 | 7 | 6 |
142 | Hiner, Kyle Devon | University of California, Riverside | 2012 | male | 3 | 1 | 2015 | 10 | 3 | 2015 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 1 | 0 |  0 | 1 | 3 | 1 | 1 | 4 | 1 | 0 | 2 | 0 |
143 | Ahmed, Zeeshan | California Institute of Technology | 2012 | None | 7 | 1 | 2014 | 10 | 11 | 2018 | 0 | 0 | 2 | 1 | 3 | 1 | 0 | 1 | 0 | 0 |  0 | 1 | 3 | 2 | 3 | 1 | 3 | 1 | 2 | 4 |
144 | Kopecky, Alexandra Carley | University of California, Davis | 2012 | female | 1 | 0 | 2012 | 1 | 1 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |
145 | Goldstein, Adam | The University of Alabama in Huntsville | 2012 | male | 3 | 4 | 2017 | 22 | 30 | 2018 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 1 |  0 | 1 | 3 | 2 | 7 | 9 | 4 | 6 | 4 | 10 |
146 | Ray Pitambar Mohapatra, Satyanarayan | University of Massachusetts Amherst | 2012 | male | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
147 | Allen, Monica Gene | The University of Utah | 2012 | female | 2 | 1 | 2013 | 24 | 26 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 |  2 | 5 | 4 | 6 | 2 | 5 | 5 | 2 | 9 | 5 |
148 | Lascar, Daniel David | Northwestern University | 2012 | male | 1 | 0 | 2012 | 4 | 2 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 1 |
149 | Lee, Khee-Gan | Princeton University | 2012 | male | 8 | 6 | 2018 | 38 | 90 | 2018 | 0 | 1 | 2 | 1 | 1 | 3 | 1 | 2 | 1 | 2 |  0 | 8 | 8 | 2 | 5 | 15 | 9 | 7 | 9 | 33 |
150 | Campbell, Sheldon Scott | Texas A&amp;M University | 2012 | male | 3 | 1 | 2018 | 6 | 6 | 2018 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 |  1 | 0 | 1 | 1 | 1 | 2 | 0 | 2 | 2 | 1 |
151 | Rivers, Elizabeth | University of California, San Diego | 2012 | female | 6 | 5 | 2016 | 9 | 17 | 2017 | 0 | 0 | 0 | 1 | 3 | 2 | 1 | 1 | 2 | 1 |  0 | 0 | 0 | 1 | 5 | 3 | 1 | 5 | 5 | 4 |
152 | Neese, Christopher Fred | The University of Chicago | 2012 | male | 13 | 3 | 2014 | 19 | 8 | 2016 | 2 | 2 | 2 | 3 | 2 | 2 | 2 | 1 | 0 | 0 |  2 | 2 | 2 | 7 | 3 | 3 | 3 | 4 | 0 | 1 |
153 | Llanos de la Concha, Pedro J. | University of Southern California | 2012 | male | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
154 | Garber, Darren D. | University of Southern California | 2012 | male | 1 | 0 | 2012 | 1 | 1 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |
155 | Lin, Tongyan | Harvard University | 2012 | None | 4 | 2 | 2014 | 13 | 23 | 2018 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 0 | 0 |  0 | 0 | 1 | 5 | 3 | 4 | 1 | 3 | 6 | 5 |
156 | Wu, Ronin | New York University | 2012 | male | 2 | 3 | 2018 | 10 | 20 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 0 |  0 | 0 | 0 | 2 | 1 | 7 | 5 | 4 | 3 | 3 |
157 | Hayes, Brett P. | University of Illinois at Urbana-Champaign | 2012 | male | 2 | 1 | 2013 | 2 | 1 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 |
158 | Kontos, Antonios | University of Notre Dame | 2012 | male | 3 | 4 | 2013 | 6 | 75 | 2018 | 0 | 0 | 0 | 0 | 0 | 3 | 4 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 3 | 9 | 4 | 4 | 26 |
159 | Aune, Taylor | UC Santa Cruz | 2012 | None | 3 | 0 | 2012 | 47 | 27 | 2018 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 3 | 9 | 7 | 14 | 14 | 6 | 13 | 5 | 3 |
160 | Kiuchi, Furea | University of Kentucky | 2012 | female | 1 | 0 | 2012 | 3 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |
161 | Primulando, Reinard | The College of William and Mary | 2012 | male | 1 | 0 | 2018 | 5 | 2 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 2 | 2 | 0 | 0 | 0 |
162 | Peterson, Joseph J. | University of Massachusetts Amherst | 2012 | male | 1 | 0 | 2012 | 4 | 17 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 0 | 2 | 7 | 5 | 2 | 3 |
163 | Crowley, John W. | Harvard University | 2012 | male | 3 | 0 | 2012 | 4 | 3 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 1 | 0 | 0 | 2 |
164 | Aldern, Mary Hsi | Prescott College | 2012 | female | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
165 | Richardson, Katherine Anne | The University of New Mexico | 2012 | female | 1 | 0 | 2012 | 3 | 1 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 0 |
166 | Gantner, Brennan L. | University of Colorado at Boulder | 2012 | male | 1 | 0 | 2012 | 3 | 1 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |
167 | Bates, Jason D. | Wake Forest University | 2012 | male | 3 | 1 | 2014 | 4 | 2 | 2018 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 0 | 0 |
168 | Talukder, Dipongkar | Washington State University | 2012 | male | 2 | 2 | 2014 | 45 | 85 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 |  0 | 0 | 11 | 8 | 9 | 17 | 7 | 14 | 7 | 27 |
169 | Hamlin, Nathaniel Donald | University of California, Los Angeles | 2012 | male | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
170 | Vogt, Marissa Farland | University of California, Los Angeles | 2012 | female | 3 | 7 | 2017 | 7 | 28 | 2018 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 2 | 2 | 1 |  0 | 0 | 1 | 1 | 3 | 2 | 1 | 5 | 8 | 5 |
171 | Kumar, Naresh | Cornell University | 2012 | male | 4 | 0 | 2012 | 12 | 13 | 2018 | 0 | 1 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  2 | 2 | 2 | 1 | 1 | 4 | 2 | 1 | 1 | 0 |
172 | Bhatti, Waqas A. | The Johns Hopkins University | 2012 | None | 2 | 0 | 2012 | 3 | 29 | 2018 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 1 | 4 | 12 | 8 |
173 | Hayes, Andrew Paul | The University of Maine | 2012 | male | 2 | 0 | 2012 | 6 | 2 | 2018 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 2 | 1 | 1 | 2 | 0 | 0 | 0 |
174 | Thompson, Grant David | University of Kentucky | 2012 | male | 2 | 0 | 2012 | 4 | 0 | 2012 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |
175 | Book, Laura G. | California Institute of Technology | 2012 | female | 8 | 0 | 2012 | 10 | 0 | 2012 | 0 | 1 | 1 | 1 | 2 | 3 | 0 | 0 | 0 | 0 |  1 | 1 | 1 | 2 | 2 | 3 | 0 | 0 | 0 | 0 |
176 | Barton, David Alan | Temple University | 2012 | male | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
177 | Yang, Qiaoli | University of Florida | 2012 | female | 1 | 4 | 2018 | 21 | 30 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 |  0 | 1 | 6 | 1 | 4 | 9 | 3 | 5 | 11 | 4 |
178 | Aslanyan, Grigor | University of California, San Diego | 2012 | male | 2 | 8 | 2016 | 3 | 11 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 3 | 2 | 2 | 1 |  0 | 0 | 0 | 0 | 0 | 3 | 3 | 3 | 2 | 2 |
179 | Dove, Adrienne Rathert | University of Colorado at Boulder | 2012 | female | 2 | 0 | 2018 | 2 | 2 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |
180 | Price, Steven Curtis | Montana State University | 2012 | male | 2 | 0 | 2012 | 4 | 0 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 |
181 | Poltis, Robert Vincent | State University of New York at Buffalo | 2012 | male | 2 | 0 | 2012 | 3 | 1 | 2013 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
182 | Veach, Todd Justin | Arizona State University | 2012 | male | 1 | 1 | 2013 | 2 | 6 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 1 |
183 | Agustsson, Ingolfur | Boston University | 2012 | male | 2 | 0 | 2012 | 3 | 0 | 2018 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 |
184 | Fucetola, Elizabeth N. | Boston University | 2012 | female | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
185 | Orloff, Travis C. | University of California, Santa Cruz | 2012 | male | 2 | 2 | 2013 | 2 | 2 | 2013 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 |
186 | O'Neill, Hugh | University of California, Santa Barbara | 2012 | male | 3 | 0 | 2018 | 23 | 8 | 2018 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  3 | 8 | 8 | 1 | 2 | 1 | 2 | 1 | 1 | 2 |
187 | Yu, Gang | Harvard University | 2012 | male | 2 | 0 | 2012 | 30 | 4 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |  2 | 9 | 3 | 3 | 6 | 7 | 2 | 0 | 2 | 0 |
188 | Xu, Chen | University of Delaware | 2012 | male | 9 | 3 | 2015 | 102 | 56 | 2018 | 1 | 1 | 0 | 1 | 1 | 5 | 0 | 2 | 1 | 0 |  10 | 3 | 9 | 31 | 20 | 29 | 27 | 11 | 6 | 7 |
189 | Stratton, Sean R. | Rutgers The State University of New Jersey - New Brunswick | 2012 | male | 2 | 0 | 2012 | 15 | 14 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |  0 | 3 | 2 | 3 | 2 | 5 | 4 | 2 | 5 | 1 |
190 | Shokair, Timothy Milad | University of Pennsylvania | 2012 | male | 1 | 1 | 2014 | 1 | 2 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 |
191 | Bays, Kirk Ryan | University of California, Irvine | 2012 | male | 2 | 0 | 2012 | 9 | 9 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 3 | 1 | 2 | 3 | 1 | 2 | 1 | 2 |
192 | Mitchell, Joseph P. | The Florida State University | 2012 | male | 1 | 1 | 2015 | 9 | 6 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 |  0 | 0 | 2 | 3 | 3 | 1 | 0 | 0 | 1 | 2 |
193 | Schrader, Devin Lee | The University of Arizona | 2012 | male | 5 | 8 | 2018 | 6 | 10 | 2018 | 0 | 1 | 0 | 2 | 1 | 1 | 1 | 2 | 1 | 1 |  0 | 1 | 0 | 2 | 1 | 2 | 1 | 3 | 2 | 1 |
194 | Taghizadeh-Popp, Manuchehr | The Johns Hopkins University | 2012 | male | 4 | 1 | 2015 | 5 | 3 | 2018 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 1 | 0 |  0 | 0 | 1 | 1 | 0 | 3 | 0 | 0 | 1 | 0 |
195 | Linford, Justin Dee | The University of New Mexico | 2012 | male | 4 | 2 | 2017 | 4 | 9 | 2018 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 3 | 1 | 1 | 2 |
196 | Gonzalez, Valentino | University of California, Santa Cruz | 2012 | None | 1 | 0 | 2012 | 15 | 20 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 5 | 3 | 6 | 5 | 5 | 3 | 4 |
197 | Fleshman, Bobby L. | The University of Oklahoma | 2012 | male | 4 | 1 | 2013 | 5 | 4 | 2015 | 0 | 0 | 0 | 2 | 0 | 2 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 0 | 3 | 3 | 0 | 1 | 0 |
198 | Maksym, Walter Peter, III | Northwestern University | 2012 | male | 2 | 5 | 2017 | 2 | 17 | 2018 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 0 | 1 |  0 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 4 | 4 |
199 | Teets, William Kenneth | Vanderbilt University | 2012 | male | 3 | 0 | 2012 | 4 | 1 | 2014 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 0 | 1 | 0 | 0 |
200 | Schmit, D. J. | University of Colorado at Boulder | 2012 | None | 4 | 6 | 2017 | 6 | 10 | 2018 | 0 | 0 | 2 | 0 | 1 | 1 | 2 | 1 | 1 | 1 |  0 | 0 | 2 | 1 | 1 | 2 | 2 | 4 | 1 | 1 |
201 | Wasiak, Felix C. | University of Arkansas | 2012 | male | 1 | 2 | 2013 | 2 | 4 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 1 | 1 |
202 | Fallest, David William | North Carolina State University | 2012 | male | 2 | 0 | 2012 | 2 | 0 | 2012 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |
203 | Roberts, Luke Forrest | University of California, Santa Cruz | 2012 | male | 6 | 4 | 2017 | 9 | 20 | 2018 | 0 | 0 | 0 | 1 | 1 | 4 | 0 | 0 | 0 | 1 |  2 | 0 | 0 | 2 | 1 | 4 | 0 | 1 | 6 | 5 |
204 | Petrov, Pavel | Harvard University | 2012 | male | 5 | 3 | 2015 | 11 | 7 | 2018 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 2 | 1 | 0 |  2 | 2 | 0 | 3 | 2 | 2 | 1 | 2 | 2 | 1 |
205 | McLinden, Emily | Arizona State University | 2012 | female | 2 | 2 | 2014 | 4 | 4 | 2016 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 2 | 1 | 2 | 0 | 1 |
206 | Park, KwangHo | University of Maryland, College Park | 2012 | male | 5 | 9 | 2017 | 9 | 12 | 2018 | 0 | 1 | 0 | 1 | 1 | 2 | 1 | 2 | 2 | 1 |  0 | 2 | 1 | 2 | 1 | 3 | 1 | 2 | 3 | 1 |
207 | Krueger, Brendan Kurt | State University of New York at Stony Brook | 2012 | male | 3 | 0 | 2012 | 3 | 2 | 2018 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 1 | 0 |
208 | Miller, Nathan J. | University of California, San Diego | 2012 | male | 5 | 1 | 2016 | 24 | 20 | 2018 | 0 | 0 | 4 | 0 | 0 | 1 | 0 | 0 | 0 | 1 |  0 | 3 | 6 | 5 | 2 | 8 | 1 | 7 | 6 | 4 |
209 | Lee, Nara | Rutgers The State University of New Jersey - New Brunswick | 2012 | female | 2 | 0 | 2012 | 10 | 12 | 2018 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 2 | 3 | 2 | 0 | 3 | 1 | 3 | 2 | 4 |
210 | Watson, Douglas F. | Vanderbilt University | 2012 | male | 11 | 2 | 2015 | 36 | 27 | 2018 | 2 | 0 | 0 | 1 | 5 | 3 | 1 | 0 | 1 | 0 |  8 | 4 | 4 | 5 | 7 | 8 | 3 | 8 | 7 | 3 |
211 | Agrawal, Prateek | University of Maryland, College Park | 2012 | male | 3 | 11 | 2018 | 8 | 19 | 2018 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 1 | 1 | 0 |  0 | 1 | 2 | 1 | 1 | 3 | 0 | 1 | 1 | 3 |
212 | Alvarez, Jorge Alonso | Purdue University | 2012 | male | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
213 | Prinke, Amanda Margaret | Michigan State University | 2012 | female | 1 | 0 | 2012 | 6 | 1 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  1 | 0 | 2 | 0 | 1 | 2 | 0 | 1 | 0 | 0 |
214 | Kelley, Matthew Thomas | University of Nevada, Las Vegas | 2012 | male | 1 | 0 | 2012 | 13 | 3 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  3 | 0 | 4 | 1 | 2 | 3 | 0 | 0 | 1 | 0 |
215 | Armstrong, Jonathan D. | University of Miami | 2012 | male | 1 | 0 | 2012 | 2 | 7 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 0 |
216 | Jacobs, Bradley A. | University of Hawai'i at Manoa | 2012 | male | 4 | 0 | 2012 | 6 | 3 | 2014 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 3 | 0 | 2 | 1 | 2 | 1 | 0 | 0 |
217 | Glein, Christopher R. | Arizona State University | 2012 | male | 4 | 4 | 2018 | 5 | 8 | 2018 | 0 | 1 | 1 | 1 | 0 | 1 | 1 | 0 | 2 | 0 |  0 | 1 | 2 | 1 | 0 | 1 | 1 | 0 | 3 | 1 |
218 | Lave, Kelly A. | Washington University in St. Louis | 2012 | female | 1 | 1 | 2013 | 4 | 3 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 1 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 1 |
219 | Long, Andrew J. | The University of Wisconsin - Madison | 2012 | male | 1 | 10 | 2018 | 6 | 29 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 5 | 3 | 1 |  0 | 0 | 0 | 1 | 2 | 3 | 4 | 10 | 6 | 6 |
220 | Roth, Marshall | University of Washington | 2012 | male | 11 | 1 | 2016 | 263 | 123 | 2018 | 3 | 1 | 0 | 4 | 2 | 1 | 0 | 0 | 0 | 1 |  16 | 36 | 40 | 79 | 41 | 51 | 21 | 22 | 34 | 17 |
221 | Pan, Guang | Rutgers The State University of New Jersey - New Brunswick | 2012 | male | 1 | 0 | 2012 | 1 | 2 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 |
222 | McConnell, Nicholas James | University of California, Berkeley | 2012 | male | 4 | 3 | 2016 | 6 | 12 | 2017 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 3 | 3 | 2 | 1 | 1 | 4 |
223 | Wojtkowski, Kari Anne | Missouri University of Science and Technology | 2012 | female | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
224 | Zack, Lindsay Nicole | The University of Arizona | 2012 | female | 2 | 1 | 2013 | 3 | 2 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 1 | 2 | 0 | 0 | 0 |
225 | Lackner, Claire Nicole | Princeton University | 2012 | female | 4 | 2 | 2014 | 6 | 8 | 2018 | 0 | 0 | 0 | 1 | 0 | 3 | 1 | 1 | 0 | 0 |  0 | 0 | 1 | 1 | 1 | 3 | 1 | 3 | 3 | 0 |
226 | Crossfield, Ian James Mills | University of California, Los Angeles | 2012 | male | 7 | 9 | 2018 | 8 | 42 | 2018 | 0 | 0 | 0 | 1 | 1 | 5 | 2 | 2 | 2 | 1 |  0 | 0 | 0 | 1 | 1 | 6 | 4 | 6 | 8 | 9 |
227 | Crabtree, Kyle Nicholas | University of Illinois at Urbana-Champaign | 2012 | male | 3 | 2 | 2013 | 5 | 8 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 4 | 4 | 2 | 1 | 0 |
228 | Javaid, Amir | University of Delaware | 2012 | male | 1 | 0 | 2012 | 8 | 7 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 2 | 0 | 2 | 2 | 2 | 0 | 0 | 1 | 3 |
229 | Siegler, Matthew Adam | University of California, Los Angeles | 2012 | male | 3 | 4 | 2017 | 6 | 12 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 1 |  0 | 0 | 0 | 2 | 1 | 3 | 2 | 1 | 3 | 2 |
230 | Poteet, Charles Allen | The University of Toledo | 2012 | male | 2 | 2 | 2018 | 6 | 13 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 0 |  0 | 0 | 0 | 3 | 2 | 1 | 4 | 2 | 1 | 4 |
231 | McDunn, Tamara Lea | University of Michigan | 2012 | female | 2 | 1 | 2013 | 2 | 2 | 2015 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 |
232 | Monsalve, Raul | University of Miami | 2012 | male | 1 | 3 | 2018 | 3 | 11 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 3 | 2 |
233 | Simmons, Brooke D. | Yale University | 2012 | female | 4 | 4 | 2017 | 14 | 32 | 2018 | 0 | 1 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 0 |  0 | 1 | 2 | 0 | 3 | 8 | 2 | 5 | 11 | 4 |
234 | Quealy, Erin Elizabeth | University of California, Berkeley | 2012 | female | 1 | 0 | 2012 | 2 | 7 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 2 | 3 | 1 | 0 |
235 | Newton, Cassidy Louann | Texas Christian University | 2012 | female | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
236 | Nielson, Kevin Derek | The University of Iowa | 2012 | male | 2 | 1 | 2013 | 3 | 3 | 2013 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 3 | 0 | 0 | 0 |
237 | Caballero Nieves, Saida M. | Georgia State University | 2012 | female | 1 | 0 | 2012 | 9 | 3 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  4 | 1 | 1 | 0 | 2 | 1 | 0 | 1 | 1 | 1 |
