n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
211 | Dupke, Renato De Alencar | THE UNIVERSITY OF ALABAMA | 1998 | male | 1 | 4 | 2007 | 1 | 20 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 2 | 1 | 0 | 3 | 3 | 5 |
212 | Walker, Paul | UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN | 1998 | male | 1 | 2 | 2013 | 9 | 21 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  1 | 1 | 1 | 1 | 0 | 5 | 3 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 3 | 3 | 2 | 0 | 1 | 0 | 1 | 2 | 0 | 1 |
213 | Akridge, Jannette Marie Cunningham | UNIVERSITY OF ARKANSAS | 1998 | female | 1 | 3 | 2004 | 1 | 4 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
214 | Bernstein, Rebecca Ann | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1998 | female | 1 | 5 | 2007 | 2 | 68 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 4 | 0 | 2 | 1 | 6 | 5 | 1 | 2 | 2 | 3 | 3 | 5 | 2 | 9 | 14 |
215 | Sheinblatt, Harrison Joseph | UNIVERSITY OF CALIFORNIA, SANTA BARBARA | 1998 | male | 2 | 0 | 1998 | 3 | 0 | 1998 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
216 | Wang, Limin | UNIVERSITY OF PENNSYLVANIA | 1998 | male | 7 | 40 | 2017 | 15 | 243 | 2017 | 1 | 1 | 0 | 0 | 1 | 4 | 1 | 3 | 2 | 2 | 2 | 1 | 1 | 2 | 0 | 3 | 5 | 0 | 2 | 3 | 2 | 2 | 4 | 3 |  3 | 2 | 5 | 0 | 1 | 4 | 8 | 8 | 3 | 3 | 10 | 8 | 8 | 9 | 6 | 7 | 13 | 27 | 14 | 20 | 28 | 20 | 20 | 19 |
217 | Hull, Arthur Jean | THE UNIVERSITY OF IOWA | 1998 | male | 3 | 9 | 2016 | 3 | 19 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 2 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 3 | 0 | 2 | 2 | 2 | 2 | 1 | 1 | 1 | 2 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 1 |
218 | Lyutikov, Maxim Y. | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1998 | male | 6 | 67 | 2017 | 7 | 105 | 2017 | 0 | 1 | 0 | 0 | 0 | 5 | 5 | 3 | 2 | 2 | 5 | 2 | 3 | 6 | 3 | 2 | 2 | 6 | 6 | 5 | 5 | 1 | 1 | 4 |  0 | 2 | 0 | 0 | 0 | 5 | 5 | 3 | 4 | 3 | 6 | 2 | 3 | 6 | 5 | 4 | 2 | 8 | 12 | 13 | 6 | 4 | 6 | 8 |
219 | Montenegro, Luis Enrique | CITY UNIVERSITY OF NEW YORK | 1998 | male | 1 | 1 | 1999 | 3 | 1 | 1999 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
220 | Hughes, Scott Alexander | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1998 | male | 3 | 26 | 2014 | 7 | 73 | 2016 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 3 | 4 | 3 | 5 | 0 | 4 | 0 | 0 | 2 | 1 | 1 | 0 | 0 | 1 | 2 | 0 | 0 |  0 | 1 | 0 | 0 | 2 | 4 | 2 | 3 | 4 | 7 | 5 | 5 | 7 | 3 | 3 | 4 | 4 | 8 | 3 | 1 | 4 | 7 | 0 | 3 |
