non-USA|-|2015|National Institute for Theoretical Physics (NITheP), Bag X1 Matieland, Stellenbosch 7602, South Africa; Department of Applied Mathematics, Stellenbosch University, Stellenbosch 7602, South Africa|0|Brink, Jeandrew|Brink, Jeandrew
non-USA|-|2015|TPD, PINSTECH, Nilore, Islamabad, Pakistan; DPAM, PIEAS, Nilore, Islamabad, Pakistan|0|Hussain, Shahid|Hussain, S.
non-USA|-|2016|LERMA, Observatoire de Paris, ENS, UPMC, UCP, PSL⁎, CNRS, 5 Place Jules Janssen, F-92195 Meudon Cedex, France|0|Delahaye, Franck|Delahaye, Franck
non-USA|-|2016|McMaster University, Department of Physics and Astronomy, Hamilton, ON L8S 4M1, Canada|0|Wehner, Elizabeth Marie|Wehner, Elizabeth M. H.
non-USA|-|2016|Space Weather Services, Australian Bureau of Meteorology, Sydney, New South Wales Australia|0|Francis, Matthew Richard|Francis, M.
non-USA|-|2017|Colorado State University, U.S.A.|0|Dorofeev, Alexei V.|Dorofeev, A.
non-USA|-|2017|Computational Engineering and Science Research Centre, University of Southern Queensland, Toowoomba, QLD 4350, Australia|0|Carter, Brooke L.|Carter, B.
non-USA|-|2017|Mimar Sinan Fine Arts University, Sisli, Istanbul 34380, Turkey|0|Yuksel, Hasan|Yuksel, H.
non-USA|-|2017|School of Physics and Astronomy, Rochester Institute of Technology, Rochester, NY 14623|0|Richmond, Marvin Elliot|Richmond, M.
non-USA|-|2018|Budker Institute of Nuclear Physics SB RAS, Lavrentiev avenue 11 630090 Novosibirsk, Russia; Novosibirsk State University, Pirogov street 2, Novosibirsk 630090, Russia|0|Sokolov, Andrei|Sokolov, A.
non-USA|-|2018|Center for Astrophysics and Cosmology, University of Nova Gorica, Nova Gorica, Slovenia|3|Zaharijas, Gabrijela|Zaharijas, G.
non-USA|-|2018|Department of Applied Mathematics, University of Waterloo, 200 University Ave W, Waterloo, Ontario, N2L 3G1 Canada; Perimeter Institute for Theoretical Physics, 31 Caroline St. N., Waterloo, ON, N2L 2Y5 Canada;|0|Geshnizjani, Ghazal|Geshnizjani, Ghazal
non-USA|-|2018|Department of Physics and Astronomy, University of British Columbia, 6224 Agricultural Road, Vancouver, BC V6T 1Z1, Canada|0|Sigurdson, Kris|Sigurdson, K.
non-USA|-|2018|Department of Physics and Astronomy, Washburn University, Topeka, Kansas|0|Thomas, Brian C.|Thomas, Brian C.
non-USA|-|2018|Department of Physics, Huazhong University of Science and Technology, Wuhan 430074, People's Republic of China|0|Gong, Bin|Gong, B. P.
