 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 211 | Miceli, Antonino | University of Washington, Washington, USA | 2005 | male | 1 | 1 | 2008 | 3 | 9 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 3 | 4 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 |
 212 | Miknaitis, Gajus A. | University of Washington | 2005 | male | 1 | 1 | 2007 | 12 | 27 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 2 | 5 | 1 | 8 | 10 | 2 | 2 | 1 | 1 | 0 | 1 | 0 | 1 |
 213 | Sharma, Sanjib | The University of Arizona, Arizona, USA | 2005 | male | 7 | 25 | 2017 | 21 | 90 | 2017 | 1 | 1 | 1 | 0 | 1 | 3 | 2 | 0 | 5 | 2 | 1 | 5 | 1 | 2 | 3 | 1 | 2 | 4 | 5 | 3 | 3 | 1 | 5 | 7 | 1 | 7 | 4 | 3 | 11 | 8 | 15 | 9 | 5 | 9 |
 215 | Dawson, Steven Arthur | University of California, Berkeley, California, USA | 2005 | male | 1 | 2 | 2012 | 4 | 2 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |
 220 | Richardson, James Edward, Jr. | The University of Arizona, Arizona, USA | 2005 | male | 5 | 7 | 2014 | 10 | 22 | 2017 | 0 | 0 | 0 | 0 | 2 | 3 | 0 | 2 | 1 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 3 | 5 | 2 | 3 | 2 | 1 | 0 | 3 | 0 | 4 | 1 | 2 | 2 |
 223 | Son, Seunghyeon | Princeton University, New Jersey, USA | 2005 | male | 1 | 1 | 2008 | 1 | 4 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
 232 | Tasitsiomi, Argyro | The University of Chicago, Illinois, USA | 2005 | female | 7 | 2 | 2006 | 8 | 5 | 2010 | 0 | 0 | 1 | 1 | 4 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 4 | 2 | 3 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
 238 | Rosolowsky, Erik William | University of California, Berkeley | 2005 | male | 6 | 20 | 2016 | 10 | 112 | 2017 | 0 | 0 | 0 | 1 | 1 | 4 | 1 | 2 | 3 | 0 | 1 | 1 | 0 | 0 | 0 | 6 | 6 | 0 | 1 | 0 | 2 | 3 | 4 | 3 | 5 | 6 | 6 | 11 | 7 | 4 | 10 | 6 | 25 | 17 |
 253 | Donaghy, Timothy Quinn | The University of Chicago, Illinois, USA | 2005 | male | 3 | 1 | 2006 | 27 | 10 | 2010 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 8 | 5 | 12 | 5 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
 254 | Duvvuri, Vikram | The University of Chicago, Illinois, USA | 2005 | male | 1 | 0 | 2005 | 4 | 1 | 2006 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 268 | McCrady, Nathan Todd | University of California, Berkeley, California, USA | 2005 | male | 1 | 0 | 2005 | 1 | 3 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 |
 278 | Jackson, Miranda | Columbia University, New York, USA | 2005 | female | 4 | 6 | 2017 | 7 | 89 | 2017 | 0 | 0 | 1 | 1 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 2 | 1 | 1 | 2 | 3 | 2 | 1 | 7 | 27 | 5 | 10 | 10 | 10 | 5 | 7 |
 284 | Weinberg, Nevin Nachum | California Institute of Technology | 2005 | female | 5 | 7 | 2016 | 7 | 23 | 2017 | 0 | 1 | 1 | 1 | 0 | 2 | 2 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 3 | 0 | 2 | 2 | 2 | 2 | 2 | 5 | 0 | 3 | 3 | 0 | 0 | 3 |
 287 | Singh, Karun Krishna | Columbia University | 2005 | male | 2 | 12 | 2017 | 3 | 54 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 2 | 1 | 1 | 2 | 2 | 0 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 4 | 11 | 7 | 7 | 9 | 5 | 1 | 2 | 3 | 0 |
 299 | Widicus Weaver, Susanna Leigh | California Institute of Technology, California, USA | 2005 | female | 4 | 2 | 2012 | 7 | 15 | 2017 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 4 | 0 | 0 | 1 | 2 | 1 | 3 | 2 | 2 | 1 | 0 | 2 |
