n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
86 | Whitmore, Jonathan | University of California, San Diego | 2011 | male | 2 | 1 | 2015 | 3 | 8 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 2 | 1 | 0 | 3 | 3 | 2 | 0 |
87 | Jahangeer, Muffarah | George Mason University | 2011 | male | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
88 | Tassev, Svetlin Valentinov | Harvard University | 2011 | None | 3 | 7 | 2017 | 5 | 9 | 2018 | 0 | 0 | 1 | 0 | 0 | 2 | 3 | 1 | 2 | 0 | 0 |  0 | 0 | 1 | 2 | 0 | 2 | 3 | 1 | 2 | 0 | 1 |
89 | Kuehn, Charles A., III | Michigan State University | 2011 | male | 4 | 3 | 2016 | 12 | 11 | 2017 | 0 | 0 | 2 | 0 | 0 | 2 | 1 | 1 | 0 | 0 | 1 |  3 | 1 | 3 | 1 | 2 | 2 | 2 | 3 | 1 | 2 | 2 |
90 | Gomez, Roman G. | Rice University | 2011 | male | 1 | 1 | 2016 | 9 | 7 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 |  0 | 1 | 2 | 3 | 0 | 3 | 0 | 0 | 0 | 0 | 5 |
91 | Prieskorn, Zachary Ryan | The University of Iowa | 2011 | male | 2 | 3 | 2014 | 3 | 5 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 1 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 2 | 1 | 1 | 1 | 1 | 1 |
92 | Grossman, Rebecca | Columbia University | 2011 | female | 2 | 2 | 2013 | 3 | 2 | 2013 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 0 | 1 | 1 | 1 | 0 | 0 | 0 |
93 | Hughes, Anna Louise Haugsjaa | University of Colorado at Boulder | 2011 | female | 6 | 1 | 2018 | 18 | 21 | 2018 | 1 | 1 | 1 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 0 |  1 | 3 | 3 | 3 | 7 | 1 | 1 | 2 | 2 | 6 | 6 |
94 | Hood, Carol Elizabeth | University of California, Irvine | 2011 | female | 1 | 1 | 2017 | 2 | 2 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 |
95 | LaMassa, Stephanie M. | The Johns Hopkins University | 2011 | female | 5 | 15 | 2017 | 10 | 38 | 2018 | 0 | 0 | 1 | 1 | 1 | 2 | 2 | 3 | 1 | 1 | 4 |  0 | 0 | 3 | 2 | 1 | 4 | 2 | 3 | 6 | 6 | 11 |
96 | Milisavljevic, Dan | Dartmouth College | 2011 | male | 5 | 10 | 2018 | 11 | 73 | 2018 | 0 | 0 | 2 | 1 | 1 | 1 | 1 | 3 | 1 | 3 | 0 |  0 | 0 | 2 | 1 | 6 | 2 | 7 | 10 | 16 | 13 | 16 |
97 | Shiri, Shahram | The George Washington University | 2011 | male | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
98 | Craig, Jonathan P. | University of Arkansas | 2011 | male | 2 | 2 | 2013 | 6 | 10 | 2018 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 2 | 0 | 0 | 0 |  0 | 0 | 1 | 3 | 1 | 1 | 1 | 6 | 2 | 1 | 0 |
99 | Afshar, Maziar Mohseney | University of California, Davis | 2011 | male | 2 | 0 | 2011 | 2 | 0 | 2011 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
100 | Halstead, Evan Mark | State University of New York at Buffalo | 2011 | male | 1 | 1 | 2013 | 3 | 1 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 |
101 | Pekowsky, Larne | Syracuse University | 2011 | None | 1 | 2 | 2013 | 19 | 83 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 5 | 6 | 8 | 16 | 5 | 1 | 4 | 28 |
102 | Perrine, Randall Patrick | University of Maryland, College Park | 2011 | male | 2 | 1 | 2012 | 4 | 1 | 2012 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 2 | 1 | 0 | 0 | 0 | 0 |
103 | Malone, Christopher Michael | State University of New York at Stony Brook | 2011 | male | 2 | 2 | 2014 | 4 | 9 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 2 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 0 | 2 | 4 | 2 | 1 |
104 | Savransky, Dmitry | Princeton University | 2011 | male | 4 | 3 | 2016 | 8 | 27 | 2018 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 1 | 0 | 1 | 1 |  3 | 0 | 0 | 0 | 3 | 2 | 1 | 1 | 2 | 5 | 10 |
105 | Comess, Max D. | University of California, Santa Cruz | 2011 | male | 1 | 1 | 2013 | 1 | 3 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 1 |
106 | Jasim, Riznia Jenifa | University of Houston | 2011 | None | 1 | 0 | 2011 | 1 | 1 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 |
107 | Ren, Guoqin | University of New Hampshire | 2011 | male | 2 | 0 | 2011 | 2 | 0 | 2011 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
108 | Markakis, Charalampos | The University of Wisconsin - Milwaukee | 2011 | male | 1 | 2 | 2017 | 6 | 23 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 1 | 2 | 1 | 2 | 0 | 1 | 3 | 1 | 0 |
109 | Christensen, Charlotte R. | University of Washington | 2011 | female | 2 | 4 | 2018 | 4 | 23 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 2 | 0 | 1 |  0 | 0 | 0 | 2 | 1 | 1 | 5 | 1 | 8 | 3 | 2 |
110 | Choi, Ami | University of California, Davis | 2011 | female | 2 | 2 | 2016 | 2 | 26 | 2018 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 |  0 | 0 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 7 | 7 |
111 | Ma, Qianyu | Baylor University | 2011 | female | 1 | 11 | 2018 | 2 | 35 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 2 |  1 | 0 | 0 | 0 | 0 | 1 | 1 | 3 | 4 | 5 | 7 |
112 | Bunker, Raymond A., III | University of California, Santa Barbara | 2011 | male | 1 | 0 | 2011 | 13 | 11 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  2 | 2 | 0 | 2 | 3 | 4 | 0 | 3 | 2 | 4 | 0 |
113 | Mei, Yuan | Rice University | 2011 | male | 1 | 5 | 2018 | 7 | 18 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 1 |  0 | 0 | 0 | 0 | 1 | 6 | 3 | 2 | 3 | 3 | 3 |
114 | Fereres-Rapoport, Sonya M. | University of California, Berkeley | 2011 | female | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
115 | Mardon, Jeremy | University of California, Berkeley | 2011 | male | 3 | 0 | 2011 | 3 | 6 | 2018 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 0 | 1 | 2 | 0 | 1 | 1 | 1 |
