n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
221 | Shet Tilvi, Vithal | Arizona State University | 2011 | male | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
222 | Loer, Ben Michael | Princeton University | 2011 | male | 1 | 0 | 2011 | 8 | 18 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 1 | 1 | 4 | 3 | 4 | 4 | 6 | 0 |
223 | Bierman, Evan M. | University of California, San Diego | 2011 | male | 2 | 0 | 2011 | 5 | 3 | 2014 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 2 | 2 | 0 | 1 | 2 | 0 | 0 |
224 | Ellinger, Carola I. | Arizona State University | 2011 | female | 2 | 1 | 2012 | 3 | 4 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 2 | 1 | 1 | 0 | 0 |
225 | Hong, Sungryong | University of Massachusetts Amherst | 2011 | None | 3 | 5 | 2016 | 20 | 12 | 2018 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 1 | 2 | 1 | 1 |  2 | 5 | 4 | 2 | 4 | 3 | 1 | 4 | 3 | 1 | 2 |
226 | Hilton, Eric J. | University of Washington | 2011 | male | 4 | 0 | 2011 | 8 | 19 | 2016 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 2 | 2 | 2 | 7 | 7 | 3 | 0 | 2 |
227 | Lever, Edward Lawrence | University of California, San Diego | 2011 | male | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
228 | Schwamb, Megan E. | California Institute of Technology | 2011 | female | 3 | 4 | 2018 | 17 | 31 | 2018 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 2 | 0 | 0 |  2 | 0 | 3 | 5 | 6 | 1 | 7 | 6 | 5 | 2 | 6 |
229 | Kamiya, Kaoru | University of California, Riverside | 2011 | male | 1 | 2 | 2018 | 26 | 8 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 3 | 6 | 8 | 7 | 4 | 0 | 0 | 0 | 0 |
230 | Gill, Michael A. | University of Maryland, College Park | 2011 | male | 2 | 0 | 2011 | 4 | 2 | 2016 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 1 |
231 | Krusberg, Zosia Anna Celina | The University of Chicago | 2011 | None | 2 | 0 | 2011 | 4 | 0 | 2011 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |
232 | Joner, Michael D. | Brigham Young University | 2011 | male | 5 | 10 | 2018 | 12 | 37 | 2018 | 1 | 1 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 5 | 4 |  2 | 1 | 3 | 2 | 0 | 4 | 2 | 3 | 2 | 7 | 7 |
233 | Barber DeGraaff, Regina G. | Washington State University | 2011 | female | 1 | 0 | 2011 | 3 | 1 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 |
234 | Zhu, Guangtun | New York University | 2011 | None | 7 | 5 | 2017 | 17 | 38 | 2018 | 1 | 0 | 0 | 2 | 1 | 3 | 0 | 2 | 1 | 1 | 0 |  3 | 1 | 2 | 2 | 3 | 6 | 4 | 7 | 4 | 11 | 5 |
235 | Walsh, Jonelle L. | University of California, Irvine | 2011 | female | 4 | 5 | 2017 | 16 | 25 | 2018 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | 1 |  0 | 2 | 3 | 2 | 6 | 3 | 5 | 2 | 2 | 4 | 5 |
236 | Tun, Samuel D. | New Jersey Institute of Technology | 2011 | male | 2 | 1 | 2013 | 2 | 1 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 |
237 | Bellm, Eric Christopher | University of California, Berkeley | 2011 | male | 4 | 5 | 2017 | 12 | 38 | 2018 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 2 | 0 | 2 |  1 | 1 | 4 | 2 | 2 | 2 | 0 | 7 | 8 | 4 | 9 |
238 | Liu, Guilin | University of Massachusetts Amherst | 2011 | male | 8 | 8 | 2016 | 17 | 30 | 2018 | 1 | 0 | 3 | 1 | 1 | 2 | 0 | 5 | 1 | 1 | 1 |  1 | 0 | 5 | 3 | 3 | 5 | 4 | 10 | 3 | 3 | 3 |
239 | Essinger-Hileman, Thomas | Princeton University | 2011 | male | 1 | 2 | 2016 | 14 | 15 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 3 | 11 | 4 | 3 | 1 | 2 | 5 |
240 | Zimmerman, Neil Thomas | Columbia University | 2011 | male | 3 | 1 | 2016 | 13 | 25 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 1 |  1 | 2 | 2 | 0 | 3 | 5 | 3 | 5 | 1 | 5 | 8 |
241 | Hess, Kelley M. | The University of Wisconsin - Madison | 2011 | female | 2 | 4 | 2017 | 4 | 15 | 2018 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 1 | 0 |  0 | 0 | 0 | 1 | 0 | 3 | 2 | 4 | 0 | 4 | 3 |
242 | Marcus, Robert Andrew | Harvard University | 2011 | male | 5 | 0 | 2011 | 6 | 1 | 2013 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 3 | 2 | 0 | 1 | 0 | 0 | 0 |
243 | Rafelski, Marc Alexander | University of California, San Diego | 2011 | male | 4 | 4 | 2016 | 9 | 45 | 2018 | 0 | 1 | 0 | 1 | 0 | 2 | 1 | 0 | 1 | 1 | 1 |  1 | 2 | 1 | 1 | 1 | 3 | 2 | 7 | 7 | 9 | 14 |
244 | D'Aloisio, Anson | Yale University | 2011 | male | 5 | 5 | 2018 | 7 | 10 | 2018 | 0 | 1 | 0 | 1 | 0 | 3 | 0 | 2 | 1 | 1 | 0 |  0 | 1 | 0 | 1 | 1 | 4 | 0 | 4 | 1 | 2 | 2 |
245 | Mendygral, Peter John | University of Minnesota | 2011 | male | 2 | 2 | 2017 | 3 | 5 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 0 |
246 | Ryan, Erin Lee | University of Minnesota | 2011 | female | 4 | 2 | 2017 | 9 | 8 | 2018 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 3 | 2 | 4 | 0 | 0 | 1 | 3 | 2 |
247 | Strycker, Paul Douglas | New Mexico State University | 2011 | male | 2 | 1 | 2013 | 2 | 1 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 |
248 | Briggs, Andrew O'Banion | University of Houston | 2011 | male | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
249 | Shi, Jianming | University of Virginia | 2011 | male | 12 | 7 | 2018 | 56 | 53 | 2018 | 0 | 2 | 1 | 3 | 1 | 5 | 2 | 0 | 2 | 2 | 0 |  10 | 4 | 15 | 11 | 5 | 11 | 5 | 4 | 10 | 15 | 13 |
250 | Ionita, Florin | The University of Chicago | 2011 | male | 1 | 0 | 2011 | 23 | 12 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 4 | 3 | 6 | 9 | 11 | 1 | 0 | 0 | 0 |
251 | Crockett, Christopher James | University of California, Los Angeles | 2011 | male | 2 | 1 | 2012 | 9 | 6 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 |  0 | 4 | 0 | 0 | 0 | 5 | 1 | 0 | 1 | 2 | 2 |
252 | Todd, Elizabeth | The University of Arizona | 2011 | female | 1 | 0 | 2011 | 4 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |
253 | Raskin, Cody | Arizona State University | 2011 | male | 5 | 5 | 2016 | 6 | 7 | 2018 | 0 | 0 | 1 | 2 | 1 | 1 | 1 | 1 | 1 | 0 | 2 |  0 | 0 | 1 | 2 | 2 | 1 | 1 | 1 | 2 | 0 | 3 |
254 | Stockton, James Curtis | New Mexico State University | 2011 | male | 2 | 0 | 2011 | 3 | 2 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 0 | 2 | 0 | 0 | 0 |
255 | Maderak, Ryan Michael | Indiana University | 2011 | male | 2 | 2 | 2015 | 3 | 5 | 2017 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 |  0 | 1 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 1 | 0 |
256 | Hui, Chiumun Michelle | The University of Utah | 2011 | None | 2 | 0 | 2011 | 42 | 29 | 2018 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 5 | 14 | 8 | 15 | 4 | 1 | 2 | 3 | 4 |
257 | Rutledge, Douglas Lowery | The Pennsylvania State University | 2011 | male | 1 | 0 | 2011 | 45 | 15 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  4 | 4 | 5 | 7 | 11 | 14 | 11 | 3 | 1 | 0 | 0 |
258 | Henisey, Kenneth B. | University of California, Santa Barbara | 2011 | male | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
259 | Coy, Benjamin | Drexel University | 2011 | male | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
260 | Sabancilar, Eray | Tufts University | 2011 | male | 2 | 0 | 2011 | 4 | 13 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 2 | 5 | 2 | 2 | 1 | 1 |
261 | Fernandez Rocha, Bautista | University of California, Santa Cruz | 2011 | male | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
262 | Redl, Peter Christian | University of Maryland, College Park | 2011 | male | 1 | 0 | 2011 | 36 | 63 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 2 | 7 | 11 | 15 | 11 | 21 | 12 | 17 | 1 |
263 | Owusu, Haile | Rutgers The State University of New Jersey - New Brunswick | 2011 | male | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
264 | Dookayka, Kamlesh | University of California, Irvine | 2011 | male | 2 | 0 | 2011 | 3 | 1 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 1 | 0 |
265 | Bacha, Tulu | Howard University | 2011 | None | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
266 | Martinez, Gregory David | University of California, Irvine | 2011 | male | 3 | 1 | 2015 | 11 | 15 | 2018 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 1 | 0 |  0 | 1 | 2 | 1 | 3 | 4 | 0 | 3 | 2 | 2 | 2 |
267 | Christie, Duncan | University of Illinois at Urbana-Champaign | 2011 | male | 1 | 3 | 2017 | 4 | 7 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 |  0 | 0 | 0 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 2 |
268 | Hoke, Monica Renee Theilen | University of Colorado at Boulder | 2011 | female | 3 | 1 | 2014 | 4 | 1 | 2014 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 1 | 0 | 0 |
269 | Durak, Nurcan | University of Louisville | 2011 | female | 2 | 0 | 2011 | 2 | 0 | 2011 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |
270 | Keremedjiev, Mark Stanley | University of Florida | 2011 | male | 3 | 0 | 2011 | 3 | 0 | 2011 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 |
271 | Jin, Kejian | Washington University in St. Louis | 2011 | male | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
272 | Rodriguez, Douglas Chase | The University of Utah | 2011 | male | 3 | 0 | 2011 | 25 | 27 | 2018 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 |  3 | 4 | 8 | 2 | 4 | 4 | 4 | 7 | 4 | 7 | 2 |
273 | Baldner, Charles S. | Yale University | 2011 | male | 7 | 3 | 2013 | 13 | 7 | 2018 | 0 | 0 | 1 | 1 | 1 | 4 | 1 | 2 | 0 | 0 | 0 |  0 | 0 | 1 | 2 | 4 | 6 | 3 | 3 | 0 | 1 | 0 |
274 | West, Brent Frederick | George Mason University | 2011 | male | 1 | 2 | 2017 | 2 | 2 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
275 | Newman, Seth Aaron | University of South Carolina | 2011 | male | 1 | 0 | 2011 | 8 | 10 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 0 | 0 | 0 | 6 | 2 | 5 | 1 | 1 | 0 |
276 | Szydagis, Matthew Mark | The University of Chicago | 2011 | male | 1 | 1 | 2013 | 3 | 15 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 2 | 2 | 3 | 2 | 2 | 3 |
277 | Wolfram, Kenneth Deane | George Mason University | 2011 | male | 1 | 0 | 2011 | 1 | 2 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
278 | Tomita, Hidefumi | Boston University | 2011 | male | 1 | 0 | 2018 | 8 | 3 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 2 | 0 | 1 | 4 | 1 | 0 | 0 | 0 | 1 |
279 | Magkotsios, Georgios | University of Notre Dame | 2011 | male | 3 | 0 | 2011 | 4 | 3 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 2 | 0 | 0 | 1 | 1 | 1 |
280 | Roy, Anindya | Rutgers The State University of New Jersey - New Brunswick | 2011 | male | 3 | 2 | 2018 | 13 | 24 | 2018 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 |  0 | 1 | 3 | 0 | 6 | 3 | 0 | 6 | 5 | 5 | 5 |
281 | Milbury, Colleen Adriann Eleanor | University of California, Los Angeles | 2011 | female | 3 | 2 | 2015 | 3 | 8 | 2018 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 |  0 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 2 | 1 |
282 | Jaeggli, Sarah A. | University of Hawai'i at Manoa | 2011 | female | 1 | 3 | 2018 | 4 | 16 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 2 |  0 | 3 | 0 | 0 | 0 | 1 | 1 | 0 | 10 | 3 | 2 |
283 | Movit, Steven Michael | The Pennsylvania State University | 2011 | male | 2 | 0 | 2011 | 47 | 19 | 2014 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  4 | 5 | 5 | 8 | 11 | 14 | 11 | 7 | 1 | 0 | 0 |
284 | Watson, Linda Ceva | The Ohio State University | 2011 | female | 4 | 3 | 2017 | 13 | 12 | 2017 | 0 | 1 | 1 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 1 |  0 | 1 | 5 | 3 | 2 | 2 | 1 | 2 | 0 | 4 | 2 |
285 | Keenan, Ryan C. | The University of Wisconsin - Madison | 2011 | male | 4 | 3 | 2014 | 6 | 4 | 2014 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 1 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 4 | 2 | 2 | 1 | 1 | 0 | 0 |
286 | Bender, Amy Nicole | University of Colorado at Boulder | 2011 | female | 1 | 1 | 2016 | 7 | 11 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 1 | 3 | 1 | 2 | 1 | 1 | 0 | 3 | 5 |
287 | Howley, Kirsten M. | University of California, Santa Cruz | 2011 | female | 2 | 1 | 2013 | 2 | 4 | 2016 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 1 |
288 | Calvez, Antoine | University of California, Los Angeles | 2011 | male | 4 | 0 | 2011 | 4 | 0 | 2011 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 0 |
289 | Hadley, Kathryn Z. | University of Oregon | 2011 | female | 2 | 2 | 2015 | 2 | 2 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 1 | 0 |
290 | Gerstner, Candice Rockell | Old Dominion University | 2011 | female | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
291 | Morzinski, Katie M. | University of California, Santa Cruz | 2011 | female | 2 | 1 | 2015 | 4 | 52 | 2018 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 |  1 | 0 | 0 | 1 | 1 | 1 | 1 | 3 | 8 | 18 | 10 |
292 | Tobin, John J. | The University of Michigan | 2011 | male | 8 | 13 | 2018 | 21 | 72 | 2018 | 0 | 1 | 1 | 1 | 2 | 3 | 2 | 4 | 0 | 4 | 3 |  1 | 2 | 1 | 4 | 9 | 4 | 6 | 11 | 9 | 11 | 21 |
293 | Looper, Dagny Lauren | University of Hawai'i at Manoa | 2011 | female | 7 | 0 | 2011 | 21 | 5 | 2018 | 0 | 2 | 2 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 3 | 5 | 2 | 6 | 5 | 0 | 1 | 2 | 1 | 0 |
294 | Pulliam, Robin Leigh | The University of Arizona | 2011 | male | 3 | 1 | 2012 | 4 | 1 | 2012 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 0 |
295 | Mielke, Charlotte | State University of New York at Stony Brook | 2011 | female | 1 | 1 | 2013 | 1 | 1 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |
296 | Fragkos, Anastasios | Northwestern University | 2011 | male | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
297 | Zolotov, Adi | New York University | 2011 | male | 5 | 2 | 2015 | 6 | 10 | 2017 | 0 | 0 | 0 | 1 | 1 | 3 | 1 | 0 | 0 | 1 | 0 |  0 | 0 | 1 | 1 | 1 | 3 | 2 | 2 | 4 | 1 | 0 |
298 | Miner, Jesse | The University of North Carolina at Chapel Hill | 2011 | male | 2 | 0 | 2011 | 4 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 |
299 | Hasler, Nicole | The University of Alabama in Huntsville | 2011 | female | 1 | 1 | 2012 | 7 | 3 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 1 | 2 | 3 | 3 | 0 | 0 | 0 | 0 |
300 | Nielsen, Eric Ludwig | The University of Arizona | 2011 | male | 7 | 5 | 2017 | 22 | 41 | 2018 | 1 | 3 | 1 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 1 |  3 | 9 | 3 | 1 | 4 | 2 | 1 | 5 | 4 | 9 | 12 |
301 | Kennedy, Catherine R. | Michigan State University | 2011 | female | 2 | 1 | 2014 | 5 | 6 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 |  1 | 0 | 0 | 0 | 1 | 3 | 1 | 2 | 2 | 0 | 1 |
302 | Juneau, Stephanie | The University of Arizona | 2011 | female | 3 | 3 | 2017 | 17 | 43 | 2018 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 1 | 0 | 0 |  1 | 2 | 1 | 3 | 0 | 10 | 5 | 3 | 5 | 12 | 9 |
303 | Silverman, Jeffrey Michael | University of California, Berkeley | 2011 | male | 4 | 12 | 2017 | 84 | 121 | 2018 | 0 | 0 | 1 | 1 | 0 | 2 | 5 | 4 | 1 | 1 | 0 |  2 | 8 | 10 | 23 | 14 | 27 | 32 | 24 | 21 | 18 | 19 |
304 | Bandura, Kevin | Carnegie Mellon University | 2011 | male | 1 | 2 | 2016 | 2 | 7 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 2 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 4 | 0 | 0 | 2 |
305 | Araya-Arguedas, Miguel A. | Purdue University | 2011 | male | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
306 | Schlaufman, Kevin C. | University of California, Santa Cruz | 2011 | male | 8 | 6 | 2018 | 10 | 11 | 2018 | 0 | 0 | 0 | 2 | 3 | 3 | 1 | 1 | 2 | 1 | 1 |  2 | 0 | 0 | 2 | 3 | 3 | 1 | 1 | 3 | 2 | 1 |
307 | Sagiv, Ilan Shai | University of Minnesota | 2011 | male | 1 | 2 | 2014 | 1 | 6 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 2 | 1 |
308 | Skemer, Andrew | The University of Arizona | 2011 | male | 7 | 4 | 2016 | 10 | 44 | 2018 | 0 | 0 | 1 | 1 | 1 | 4 | 1 | 0 | 1 | 0 | 2 |  0 | 1 | 1 | 1 | 2 | 5 | 5 | 8 | 8 | 10 | 9 |
309 | Ukwatta, Tilan N. | The George Washington University | 2011 | None | 3 | 5 | 2016 | 16 | 30 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 4 |  0 | 1 | 2 | 2 | 4 | 7 | 3 | 5 | 2 | 4 | 6 |
310 | Schlieder, Joshua Edward | State University of New York at Stony Brook | 2011 | male | 2 | 6 | 2016 | 3 | 62 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 3 | 0 | 1 | 0 | 2 |  1 | 0 | 0 | 0 | 1 | 1 | 4 | 4 | 9 | 9 | 14 |
311 | Childress, Michael Joseph | University of California, Berkeley | 2011 | male | 2 | 9 | 2017 | 9 | 53 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 3 | 3 | 1 | 1 |  0 | 0 | 0 | 1 | 1 | 7 | 4 | 10 | 9 | 12 | 12 |
312 | Maxham, Amanda | University of Nevada, Las Vegas | 2011 | female | 3 | 0 | 2011 | 5 | 0 | 2011 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 3 | 0 | 0 | 0 | 0 | 0 |
313 | Robbins, Stuart James | University of Colorado at Boulder | 2011 | male | 6 | 8 | 2018 | 26 | 27 | 2018 | 1 | 0 | 0 | 0 | 1 | 4 | 2 | 2 | 3 | 0 | 0 |  8 | 6 | 5 | 0 | 1 | 6 | 3 | 4 | 5 | 2 | 9 |
