n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Santana, Rodolfo | The University of Texas at Austin | 2015 | male | 2 | 1 | 2016 | 2 | 2 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 1 |  0 | 0 | 0 | 0 | 1 | 1 | 2 |
2 | Wu, Shuo | Dartmouth College | 2015 | male | 7 | 5 | 2018 | 46 | 15 | 2018 | 0 | 1 | 1 | 1 | 1 | 3 | 3 |  6 | 10 | 9 | 6 | 10 | 5 | 7 |
3 | Darvish Sarvestani, Behnam | University of California, Riverside | 2015 | male | 1 | 0 | 2015 | 1 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
4 | Staley, Alexa | Columbia University | 2015 | female | 3 | 0 | 2015 | 25 | 60 | 2018 | 0 | 0 | 1 | 0 | 1 | 1 | 0 |  0 | 0 | 1 | 2 | 14 | 8 | 28 |
5 | Laskar, Tanmoy | Harvard University | 2015 | None | 6 | 1 | 2018 | 15 | 7 | 2018 | 1 | 1 | 0 | 1 | 1 | 2 | 1 |  2 | 1 | 0 | 5 | 4 | 3 | 5 |
6 | Dhital, Niraj | Michigan Technological University | 2015 | male | 1 | 0 | 2015 | 33 | 7 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 4 | 11 | 2 | 9 | 7 | 4 |
7 | Olson, J. Pocahontas | University of Notre Dame | 2015 | female | 4 | 0 | 2015 | 6 | 1 | 2016 | 2 | 0 | 1 | 0 | 0 | 1 | 0 |  2 | 0 | 1 | 1 | 0 | 2 | 1 |
8 | Wong, Jacqueline Yin Sang | University of California, Los Angeles | 2015 | female | 1 | 0 | 2015 | 4 | 1 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  1 | 0 | 0 | 0 | 1 | 2 | 0 |
9 | Kolb, Kimberly | Rochester Institute of Technology | 2015 | female | 1 | 1 | 2016 | 1 | 1 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 |  0 | 0 | 0 | 0 | 0 | 1 | 1 |
10 | Hicks, Raea Kay | University of Colorado at Boulder | 2015 | male | 1 | 1 | 2016 | 2 | 1 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 |  0 | 0 | 0 | 0 | 1 | 1 | 1 |
11 | Winder, Sheena L. | Air Force Institute of Technology | 2015 | female | 1 | 0 | 2015 | 1 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
12 | Chung, Hyeyoun | Harvard University | 2015 | female | 7 | 1 | 2016 | 9 | 2 | 2018 | 2 | 1 | 2 | 0 | 0 | 2 | 1 |  3 | 1 | 2 | 0 | 0 | 3 | 2 |
13 | Watkins, Jessica | University of California, Los Angeles | 2015 | female | 2 | 0 | 2015 | 9 | 1 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 0 |  0 | 2 | 3 | 1 | 0 | 3 | 0 |
14 | Carrier, Brandi L. | Tufts University | 2015 | female | 2 | 1 | 2017 | 4 | 1 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 |  0 | 0 | 0 | 0 | 2 | 2 | 0 |
15 | Zou, Ying | University of California, Los Angeles | 2015 | female | 6 | 2 | 2018 | 16 | 10 | 2018 | 0 | 0 | 1 | 1 | 1 | 3 | 1 |  1 | 0 | 2 | 3 | 3 | 7 | 7 |
16 | Nesvold, Erika | University of Maryland, Baltimore County | 2015 | female | 4 | 2 | 2018 | 6 | 7 | 2018 | 0 | 0 | 0 | 1 | 0 | 3 | 1 |  0 | 0 | 0 | 2 | 0 | 4 | 5 |
17 | Dorman, Claire Elise | University of California, Santa Cruz | 2015 | female | 4 | 0 | 2015 | 11 | 2 | 2017 | 0 | 0 | 1 | 1 | 0 | 2 | 0 |  0 | 0 | 4 | 2 | 1 | 4 | 1 |
18 | Mooley, Kunal P. | California Institute of Technology | 2015 | male | 4 | 2 | 2018 | 9 | 32 | 2018 | 0 | 0 | 0 | 2 | 0 | 2 | 1 |  0 | 1 | 0 | 3 | 1 | 4 | 12 |
19 | Freeman, Marcus J. | College of Science, School of Physics and Astronomy, Rochester Institute of Technology | 2015 | male | 3 | 1 | 2016 | 44 | 18 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 1 |  1 | 5 | 6 | 11 | 11 | 10 | 13 |
20 | Sonnenfeld, Alessandro | University of California, Santa Barbara | 2015 | male | 7 | 1 | 2018 | 15 | 10 | 2018 | 0 | 1 | 1 | 2 | 1 | 2 | 0 |  0 | 3 | 3 | 2 | 3 | 4 | 2 |
21 | Kaluna, Heather Maria | University of Hawai'i at Manoa | 2015 | female | 1 | 2 | 2017 | 9 | 3 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 |  0 | 3 | 2 | 1 | 2 | 1 | 1 |
22 | Pennucci, Timothy T. | University of Virginia | 2015 | male | 3 | 0 | 2015 | 12 | 10 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 0 |  1 | 1 | 0 | 2 | 2 | 6 | 8 |
23 | Davenport, James | University of Washington | 2015 | male | 8 | 3 | 2018 | 29 | 13 | 2018 | 1 | 0 | 1 | 1 | 2 | 3 | 2 |  1 | 4 | 5 | 4 | 6 | 9 | 6 |
24 | Vijayaraghavan, Rukmani | University of Illinois at Urbana-Champaign | 2015 | female | 4 | 3 | 2017 | 4 | 4 | 2018 | 0 | 0 | 0 | 1 | 0 | 3 | 0 |  0 | 0 | 0 | 1 | 0 | 3 | 0 |
25 | Janowiecki, Steven | Indiana University | 2015 | male | 4 | 2 | 2018 | 11 | 15 | 2018 | 1 | 0 | 0 | 0 | 1 | 2 | 0 |  2 | 1 | 0 | 0 | 2 | 6 | 7 |
26 | Michney, Ryan J. | Brown University | 2015 | male | 1 | 0 | 2015 | 1 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
27 | Luan, Jing | California Institute of Technology | 2015 | female | 5 | 1 | 2018 | 35 | 2 | 2018 | 0 | 0 | 1 | 0 | 2 | 2 | 0 |  4 | 5 | 14 | 2 | 6 | 4 | 1 |
28 | Bowling, Timothy J. | Purdue University | 2015 | male | 3 | 0 | 2015 | 8 | 5 | 2018 | 0 | 0 | 0 | 2 | 0 | 1 | 0 |  0 | 1 | 0 | 2 | 3 | 2 | 4 |
29 | Movshovitz, Naor | University of California, Santa Cruz | 2015 | male | 4 | 1 | 2016 | 6 | 2 | 2017 | 1 | 0 | 1 | 0 | 0 | 2 | 1 |  1 | 2 | 1 | 0 | 0 | 2 | 1 |
30 | Griffith, Christopher | The Pennsylvania State University | 2015 | male | 3 | 1 | 2016 | 20 | 1 | 2016 | 0 | 0 | 0 | 1 | 1 | 1 | 1 |  5 | 6 | 4 | 3 | 1 | 1 | 1 |
31 | Chapman, Daniel | Columbia University | 2015 | male | 1 | 0 | 2015 | 5 | 1 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 2 | 0 | 0 | 1 | 2 | 0 |
32 | Stone, Jordan M. | The University of Arizona | 2015 | male | 3 | 3 | 2018 | 11 | 8 | 2018 | 0 | 0 | 1 | 0 | 1 | 1 | 3 |  0 | 1 | 3 | 1 | 3 | 3 | 7 |
33 | McCormick, Alexander N. | University of Maryland, College Park | 2015 | male | 2 | 0 | 2018 | 3 | 0 | 2018 | 0 | 0 | 0 | 1 | 0 | 1 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 0 |
34 | Snedden, Ali | University of Notre Dame | 2015 | male | 2 | 1 | 2016 | 3 | 1 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 1 |  0 | 0 | 0 | 0 | 1 | 2 | 1 |
35 | Petigura, Erik Ardeshir | University of California, Berkeley | 2015 | male | 6 | 3 | 2018 | 12 | 33 | 2018 | 0 | 1 | 1 | 2 | 0 | 2 | 1 |  0 | 1 | 1 | 2 | 2 | 6 | 13 |
36 | Myers, Clayton Edward | Princeton University | 2015 | male | 2 | 0 | 2015 | 3 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 0 |
37 | Zellem, Robert Thomas | The University of Arizona | 2015 | male | 5 | 1 | 2017 | 9 | 4 | 2018 | 1 | 0 | 0 | 0 | 2 | 2 | 0 |  1 | 0 | 0 | 4 | 2 | 2 | 2 |
38 | Fournier, Amanda Patrice | University of California, Santa Barbara | 2015 | female | 1 | 0 | 2015 | 5 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  1 | 0 | 0 | 0 | 3 | 1 | 0 |
39 | Abramson, Louis Evan | The University of Chicago | 2015 | male | 5 | 1 | 2018 | 13 | 12 | 2018 | 0 | 0 | 0 | 1 | 2 | 2 | 1 |  0 | 0 | 1 | 7 | 2 | 3 | 3 |
40 | Cai, Zheng | The University of Arizona | 2015 | male | 5 | 4 | 2018 | 22 | 17 | 2018 | 0 | 1 | 1 | 0 | 1 | 2 | 1 |  1 | 2 | 3 | 0 | 6 | 10 | 7 |
41 | Noyola, Joaquin P. | The University of Texas at Arlington | 2015 | male | 2 | 1 | 2016 | 3 | 1 | 2016 | 0 | 0 | 0 | 0 | 1 | 1 | 1 |  0 | 0 | 0 | 0 | 2 | 1 | 1 |
42 | Broughton, Matthew C. | Dartmouth College | 2015 | male | 4 | 1 | 2016 | 8 | 3 | 2016 | 0 | 0 | 1 | 0 | 2 | 1 | 1 |  1 | 0 | 1 | 2 | 2 | 2 | 3 |
43 | Adhikari, Laxman | The University of Alabama in Huntsville | 2015 | male | 3 | 3 | 2017 | 4 | 6 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 1 |  0 | 0 | 0 | 1 | 1 | 2 | 1 |
44 | Beardsley, Adam | University of Washington | 2015 | male | 5 | 2 | 2017 | 10 | 16 | 2018 | 0 | 0 | 1 | 1 | 0 | 3 | 1 |  0 | 0 | 2 | 1 | 0 | 7 | 9 |
45 | Trainor, Ryan F. | California Institute of Technology | 2015 | male | 4 | 1 | 2016 | 11 | 5 | 2018 | 0 | 0 | 1 | 1 | 0 | 2 | 1 |  1 | 0 | 2 | 3 | 2 | 3 | 4 |
46 | Dowell, Jessica | Indiana University | 2015 | female | 3 | 0 | 2015 | 12 | 8 | 2018 | 0 | 0 | 0 | 1 | 1 | 1 | 0 |  0 | 0 | 2 | 2 | 3 | 5 | 6 |
47 | Thompson, Benjamin A. | Texas Christian University | 2015 | male | 2 | 0 | 2015 | 8 | 4 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 0 |  1 | 0 | 1 | 1 | 2 | 3 | 1 |
48 | Corrales, Lia Racquel | Columbia University | 2015 | female | 5 | 2 | 2017 | 6 | 6 | 2018 | 1 | 0 | 1 | 0 | 0 | 3 | 1 |  1 | 0 | 1 | 0 | 0 | 4 | 5 |
49 | Helsby, Jennifer | The University of Chicago | 2015 | female | 1 | 0 | 2015 | 4 | 1 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  2 | 0 | 0 | 1 | 0 | 1 | 1 |
50 | Naidu, Shantanu | University of California, Los Angeles | 2015 | male | 4 | 1 | 2016 | 7 | 10 | 2018 | 0 | 0 | 0 | 1 | 0 | 3 | 1 |  1 | 1 | 1 | 1 | 0 | 3 | 4 |
51 | Voytek, Tabitha Christine | Carnegie Mellon University | 2015 | None | 2 | 0 | 2015 | 8 | 1 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 |  0 | 0 | 0 | 4 | 1 | 3 | 0 |
52 | Davari, Roozbeh | University of California, Riverside | 2015 | male | 2 | 2 | 2017 | 2 | 2 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 1 |  0 | 0 | 0 | 0 | 1 | 1 | 1 |
53 | Deaton, Michael Brett | Washington State University | 2015 | male | 2 | 1 | 2018 | 4 | 1 | 2018 | 0 | 0 | 0 | 1 | 0 | 1 | 1 |  0 | 0 | 0 | 2 | 1 | 1 | 1 |
54 | Jilly, Christine E. | University of Hawai'i at Manoa | 2015 | female | 2 | 0 | 2015 | 4 | 0 | 2015 | 0 | 0 | 0 | 0 | 1 | 1 | 0 |  0 | 0 | 1 | 1 | 1 | 1 | 0 |
55 | Hellauer, Robert Eugene, III | University of Maryland, College Park | 2015 | male | 1 | 0 | 2015 | 51 | 30 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 1 | 8 | 18 | 10 | 14 | 15 |
56 | Cook, David O. | University of Wyoming | 2015 | male | 5 | 1 | 2016 | 69 | 44 | 2018 | 0 | 0 | 1 | 0 | 3 | 1 | 1 |  10 | 9 | 18 | 6 | 16 | 10 | 31 |
57 | Kammer, Joshua A. | California Institute of Technology | 2015 | male | 4 | 1 | 2018 | 8 | 13 | 2018 | 0 | 0 | 0 | 1 | 1 | 2 | 0 |  0 | 0 | 0 | 2 | 2 | 4 | 6 |
58 | Pattarakijwanich, Petchara | Princeton University | 2015 | female | 2 | 1 | 2016 | 7 | 2 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 1 |  0 | 0 | 2 | 1 | 1 | 3 | 2 |
