n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
145 | Tamayo, Daniel | Cornell University | 2015 | male | 8 | 5 | 2017 | 10 | 12 | 2018 | 0 | 1 | 0 | 2 | 2 | 3 | 2 |  0 | 1 | 0 | 2 | 2 | 5 | 5 |
146 | Petrovich Balbontin, Cristobal | Princeton University | 2015 | male | 1 | 0 | 2015 | 1 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
147 | Kulier, Andrea | Princeton University | 2015 | female | 3 | 0 | 2015 | 5 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 3 | 0 |  0 | 0 | 0 | 0 | 1 | 4 | 0 |
148 | Khayat, Alain S. J. | University of Hawai'i at Manoa | 2015 | male | 2 | 1 | 2017 | 5 | 1 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 0 |  0 | 0 | 1 | 1 | 0 | 3 | 0 |
149 | Kasliwal, Vishal Pramod | Drexel University | 2015 | male | 3 | 1 | 2017 | 3 | 1 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 0 |
150 | Nelson, Elliot Luke | The Pennsylvania State University | 2015 | male | 2 | 2 | 2017 | 7 | 3 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 1 |  0 | 0 | 1 | 3 | 1 | 2 | 2 |
151 | Hartnett, Gavin S. | University of California, Santa Barbara | 2015 | male | 4 | 0 | 2015 | 5 | 0 | 2018 | 0 | 0 | 0 | 1 | 0 | 3 | 0 |  0 | 0 | 0 | 1 | 1 | 3 | 0 |
152 | Molaro, Jamie | The University of Arizona | 2015 | male | 3 | 1 | 2017 | 4 | 2 | 2017 | 0 | 0 | 1 | 0 | 0 | 2 | 0 |  0 | 0 | 1 | 1 | 0 | 2 | 1 |
153 | Cigan, Phillip Johnathan | New Mexico Institute of Mining and Technology | 2015 | male | 1 | 0 | 2015 | 1 | 7 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 3 |
154 | Horne, Mera Fayez | University of California, Berkeley | 2015 | female | 1 | 0 | 2015 | 1 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
155 | Robinson, Katharine Lynn | University of Hawai'i at Manoa | 2015 | female | 3 | 1 | 2016 | 4 | 1 | 2016 | 0 | 0 | 1 | 0 | 1 | 1 | 1 |  1 | 0 | 1 | 0 | 1 | 1 | 1 |
156 | Hess, Phillip | George Mason University | 2015 | male | 7 | 5 | 2017 | 14 | 6 | 2018 | 1 | 0 | 0 | 0 | 2 | 4 | 1 |  1 | 0 | 1 | 1 | 7 | 4 | 2 |
157 | Deng, Xihao | The Pennsylvania State University | 2015 | None | 20 | 2 | 2017 | 37 | 13 | 2018 | 2 | 4 | 4 | 3 | 4 | 3 | 0 |  4 | 5 | 7 | 5 | 8 | 8 | 4 |
158 | Johnson, Nathan H. | University of California, San Diego | 2015 | male | 1 | 0 | 2015 | 5 | 1 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 1 | 1 | 0 | 1 | 2 | 1 |
159 | Sheng, Cheng | The University of Texas at Arlington | 2015 | male | 3 | 1 | 2017 | 7 | 3 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 0 |  0 | 2 | 1 | 0 | 1 | 3 | 0 |
160 | Fiorino, Daniel W. | The University of Wisconsin - Madison | 2015 | male | 1 | 0 | 2015 | 8 | 13 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 1 | 1 | 2 | 4 | 2 |
161 | Bhattacharjee, Anirban | University of Wyoming | 2015 | male | 1 | 0 | 2015 | 30 | 9 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  4 | 1 | 4 | 5 | 8 | 8 | 5 |
162 | Bhardwaj, Vaishali | University of Washington | 2015 | None | 1 | 0 | 2015 | 11 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 2 | 3 | 3 | 3 | 0 |
163 | Fang, Ke | The University of Chicago | 2015 | male | 8 | 9 | 2018 | 47 | 25 | 2018 | 0 | 0 | 1 | 1 | 2 | 4 | 6 |  0 | 0 | 5 | 4 | 11 | 27 | 13 |
164 | Wiener, Joshua | University of California, Santa Barbara | 2015 | male | 3 | 2 | 2018 | 3 | 2 | 2018 | 0 | 0 | 0 | 2 | 0 | 1 | 0 |  0 | 0 | 0 | 2 | 0 | 1 | 0 |
165 | Swiggum, Joseph Karl | West Virginia University | 2015 | male | 3 | 1 | 2018 | 17 | 17 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 0 |  0 | 0 | 1 | 2 | 4 | 10 | 11 |
166 | Luchini, Timothy John Franklin | Michigan State University | 2015 | male | 1 | 0 | 2015 | 1 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
167 | Dumas, Julie | Rensselaer Polytechnic Institute | 2015 | female | 2 | 0 | 2015 | 47 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 0 |  9 | 7 | 16 | 7 | 4 | 4 | 0 |
168 | Dong, Chuanfei | University of Michigan | 2015 | male | 6 | 2 | 2018 | 17 | 9 | 2018 | 0 | 0 | 0 | 1 | 2 | 3 | 0 |  0 | 0 | 0 | 1 | 4 | 12 | 2 |
169 | Findeisen, Krzysztof | California Institute of Technology | 2015 | male | 5 | 0 | 2015 | 8 | 5 | 2018 | 1 | 1 | 0 | 1 | 0 | 2 | 0 |  1 | 1 | 0 | 1 | 2 | 3 | 2 |
170 | Vaughan, Charles M. | Mississippi State University | 2015 | male | 1 | 1 | 2017 | 1 | 1 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
171 | Stack, Kathryn M. | California Institute of Technology | 2015 | female | 4 | 1 | 2016 | 15 | 10 | 2018 | 0 | 0 | 0 | 1 | 1 | 2 | 1 |  0 | 0 | 0 | 2 | 9 | 4 | 6 |
