 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1966 |  fa_1967 |  fa_1968 |  fa_1969 |  fa_1970 |  fa_1971 |  fa_1972 |  fa_1973 |  fa_1974 |  fa_1975 |  fa_1976 |  fa_1977 |  fa_1978 |  fa_1979 |  fa_1980 |  fa_1981 |  fa_1982 |  fa_1983 |  fa_1984 |  fa_1985 |  fa_1986 |  fa_1987 |  fa_1988 |  fa_1989 |  fa_1990 |  fa_1991 |  fa_1992 |  fa_1993 |  fa_1994 |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1966 |  all_1967 |  all_1968 |  all_1969 |  all_1970 |  all_1971 |  all_1972 |  all_1973 |  all_1974 |  all_1975 |  all_1976 |  all_1977 |  all_1978 |  all_1979 |  all_1980 |  all_1981 |  all_1982 |  all_1983 |  all_1984 |  all_1985 |  all_1986 |  all_1987 |  all_1988 |  all_1989 |  all_1990 |  all_1991 |  all_1992 |  all_1993 |  all_1994 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 59 | Schreur, Julian J. | THE UNIVERSITY OF ARIZONA. | 1971 | male | 2 | 1 | 1973 | 2 | 1 | 1973 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 62 | Valanejad, Esmail | PRINCETON UNIVERSITY. | 1971 | male | 1 | 0 | 1971 | 1 | 0 | 1971 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 68 | Miller, Ellis Wilson | THE UNIVERSITY OF ARIZONA. | 1971 | male | 1 | 5 | 1998 | 1 | 18 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 4 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 |
 72 | Smith, Myron Arthur | THE UNIVERSITY OF ARIZONA. | 1971 | male | 6 | 104 | 2016 | 9 | 273 | 2017 | 0 | 0 | 1 | 1 | 1 | 3 | 6 | 2 | 3 | 1 | 6 | 1 | 6 | 5 | 7 | 3 | 3 | 6 | 2 | 4 | 3 | 6 | 1 | 2 | 2 | 1 | 0 | 2 | 1 | 1 | 1 | 2 | 2 | 3 | 0 | 3 | 1 | 1 | 1 | 2 | 4 | 2 | 0 | 0 | 2 | 0 | 3 | 0 | 1 | 0 | 2 | 1 | 0 | 1 | 2 | 2 | 3 | 6 | 2 | 4 | 1 | 6 | 2 | 7 | 7 | 11 | 3 | 5 | 8 | 2 | 6 | 7 | 8 | 1 | 4 | 4 | 3 | 2 | 5 | 1 | 2 | 2 | 3 | 5 | 5 | 3 | 3 | 5 | 3 | 12 | 11 | 10 | 6 | 7 | 4 | 10 | 10 | 11 | 5 | 13 | 13 | 13 |
 79 | Tanenbaum, Andrew Stuart | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1971 | male | 3 | 0 | 1971 | 5 | 0 | 1971 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 90 | Matilsky, Terry Allen | PRINCETON UNIVERSITY. | 1971 | male | 1 | 9 | 1985 | 2 | 33 | 2003 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 3 | 1 | 3 | 1 | 7 | 2 | 1 | 3 | 4 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 94 | Glaspey, John Warren | THE UNIVERSITY OF ARIZONA. | 1971 | male | 3 | 15 | 1994 | 5 | 25 | 2015 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 4 | 1 | 3 | 1 | 0 | 2 | 1 | 2 | 2 | 0 | 1 | 2 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |
 106 | Travis, Larry Dean | THE PENNSYLVANIA STATE UNIVERSITY. | 1971 | male | 2 | 8 | 1984 | 3 | 44 | 2004 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 3 | 1 | 1 | 0 | 1 | 1 | 2 | 4 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 2 | 2 | 4 | 4 | 4 | 3 | 1 | 2 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 111 | Clutton-Brock, Martin | UNIVERSITY OF WASHINGTON. | 1971 | male | 1 | 20 | 2005 | 1 | 23 | 2005 | 0 | 0 | 0 | 0 | 0 | 1 | 4 | 2 | 2 | 1 | 1 | 2 | 1 | 1 | 0 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 4 | 2 | 2 | 1 | 1 | 2 | 1 | 1 | 0 | 1 | 4 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 125 | Durisen, Richard Henry | PRINCETON UNIVERSITY. | 1971 | male | 1 | 28 | 2008 | 1 | 107 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 3 | 1 | 1 | 1 | 0 | 1 | 3 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 4 | 1 | 1 | 2 | 3 | 1 | 3 | 2 | 3 | 5 | 3 | 1 | 4 | 3 | 3 | 3 | 2 | 2 | 0 | 1 | 4 | 3 | 2 | 4 | 0 | 5 | 5 | 1 | 5 | 2 | 4 | 4 | 5 | 3 | 0 | 4 | 2 | 1 | 2 | 0 | 2 | 0 |
 128 | Murray, Stephen S. | California Institute of Technology | 1971 | male | 2 | 9 | 2010 | 5 | 281 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 3 | 3 | 4 | 2 | 6 | 2 | 4 | 5 | 2 | 2 | 3 | 2 | 1 | 0 | 3 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 6 | 0 | 2 | 1 | 1 | 11 | 15 | 23 | 18 | 14 | 17 | 8 | 8 | 9 | 12 | 7 | 13 | 15 | 16 | 14 | 13 | 10 |
 130 | Weistrop, Donna Etta | California Institute of Technology | 1971 | female | 2 | 31 | 2012 | 2 | 73 | 2012 | 0 | 1 | 0 | 0 | 0 | 1 | 2 | 3 | 2 | 2 | 3 | 1 | 1 | 2 | 1 | 3 | 0 | 1 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 2 | 4 | 3 | 4 | 3 | 1 | 1 | 2 | 1 | 3 | 0 | 1 | 2 | 1 | 0 | 1 | 2 | 1 | 0 | 1 | 1 | 0 | 0 | 2 | 0 | 3 | 5 | 2 | 7 | 6 | 2 | 2 | 3 | 4 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
 132 | Cohen, Judith Gamora | California Institute of Technology | 1971 | female | 9 | 106 | 2014 | 11 | 235 | 2017 | 0 | 0 | 4 | 1 | 3 | 1 | 2 | 3 | 4 | 3 | 3 | 3 | 3 | 2 | 3 | 3 | 3 | 3 | 3 | 2 | 2 | 1 | 2 | 1 | 0 | 2 | 2 | 0 | 1 | 3 | 2 | 2 | 2 | 5 | 2 | 3 | 5 | 5 | 4 | 5 | 2 | 2 | 2 | 3 | 3 | 2 | 1 | 1 | 1 | 0 | 0 | 1 | 1 | 4 | 1 | 3 | 1 | 4 | 5 | 5 | 4 | 3 | 4 | 5 | 3 | 7 | 5 | 5 | 6 | 4 | 3 | 2 | 1 | 2 | 4 | 1 | 3 | 3 | 1 | 2 | 10 | 4 | 7 | 7 | 9 | 10 | 8 | 9 | 9 | 5 | 6 | 3 | 3 | 2 | 10 | 8 | 7 | 8 | 9 | 7 | 4 | 3 |
 134 | Shipman, Henry Longfellow | California Institute of Technology | 1971 | male | 4 | 31 | 2008 | 5 | 75 | 2014 | 0 | 0 | 0 | 0 | 1 | 3 | 1 | 0 | 0 | 1 | 2 | 3 | 0 | 2 | 2 | 1 | 0 | 1 | 2 | 4 | 4 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 4 | 1 | 1 | 0 | 1 | 2 | 5 | 0 | 2 | 3 | 1 | 0 | 2 | 5 | 7 | 9 | 4 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 3 | 1 | 3 | 2 | 0 | 3 | 0 | 2 | 1 | 1 | 1 | 1 | 1 | 3 | 1 | 1 | 1 | 1 | 2 | 1 | 0 | 0 |
 135 | Axel, Leon | PRINCETON UNIVERSITY. | 1971 | male | 2 | 1 | 1972 | 2 | 1 | 1972 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
