n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
259 | Shepherd, Simon George | DARTMOUTH COLLEGE | 1999 | male | 5 | 8 | 2014 | 7 | 20 | 2016 | 0 | 0 | 0 | 1 | 1 | 3 | 1 | 0 | 1 | 3 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 2 | 2 | 3 | 1 | 1 | 3 | 3 | 1 | 0 | 0 | 2 | 0 | 0 | 2 | 0 | 4 | 0 | 1 | 1 | 1 |
260 | Carter, Barbara J. | THE UNIVERSITY OF CHICAGO | 1999 | female | 6 | 4 | 2006 | 13 | 16 | 2017 | 2 | 0 | 2 | 0 | 0 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  5 | 2 | 3 | 1 | 0 | 2 | 1 | 2 | 0 | 0 | 1 | 1 | 4 | 0 | 0 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 1 |
261 | Buchalter, Ari | COLUMBIA UNIVERSITY | 1999 | male | 5 | 3 | 2001 | 7 | 4 | 2001 | 0 | 0 | 1 | 1 | 1 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 1 | 1 | 3 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
262 | Metzger, Stephen M. | UNIVERSITY OF NEVADA, RENO | 1999 | male | 2 | 3 | 2011 | 2 | 12 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 0 | 3 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 1 | 1 | 0 | 0 | 0 |
263 | Balakrishna, Jayashree | WASHINGTON UNIVERSITY | 1999 | female | 4 | 3 | 2016 | 4 | 5 | 2016 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 |
264 | Holden, Bradford Paul | THE UNIVERSITY OF CHICAGO | 1999 | male | 3 | 12 | 2016 | 10 | 85 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 1 | 0 | 1 | 2 | 1 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 1 |  0 | 0 | 1 | 3 | 2 | 4 | 7 | 4 | 2 | 1 | 6 | 11 | 8 | 5 | 5 | 6 | 3 | 5 | 4 | 4 | 4 | 5 | 4 |
265 | Metcalf, Robert Benton | UNIVERSITY OF CALIFORNIA, BERKELEY | 1999 | male | 7 | 17 | 2014 | 7 | 44 | 2017 | 0 | 1 | 1 | 1 | 1 | 3 | 1 | 2 | 2 | 0 | 1 | 2 | 1 | 4 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 |  0 | 1 | 1 | 1 | 1 | 3 | 1 | 2 | 2 | 1 | 2 | 2 | 2 | 6 | 0 | 2 | 2 | 0 | 1 | 1 | 5 | 8 | 6 |
266 | McCartney, Scott Alan | THE UNIVERSITY OF OKLAHOMA | 1999 | male | 1 | 0 | 1999 | 2 | 0 | 1999 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
267 | Kuo, Chaincy | UNIVERSITY OF CALIFORNIA, BERKELEY | 1999 | None | 2 | 16 | 2015 | 4 | 63 | 2017 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 3 | 1 | 2 | 2 | 3 | 0 |  0 | 3 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 3 | 2 | 1 | 2 | 1 | 2 | 1 | 5 | 6 | 6 | 6 | 9 | 11 | 6 |
268 | MacDonald, Daniel Rufus | UNIVERSITY OF CALIFORNIA, RIVERSIDE | 1999 | male | 1 | 1 | 2001 | 5 | 3 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 4 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 |
269 | Wu, Katherine Liang-Kai | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 1999 | female | 6 | 7 | 2008 | 14 | 50 | 2017 | 2 | 2 | 1 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  5 | 3 | 2 | 2 | 0 | 2 | 8 | 6 | 4 | 5 | 3 | 6 | 3 | 3 | 5 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 1 |
270 | Chen, Hsiao-Wen | STATE UNIVERSITY OF NEW YORK AT STONY BROOK | 1999 | female | 9 | 39 | 2016 | 16 | 178 | 2017 | 1 | 2 | 1 | 2 | 1 | 2 | 3 | 2 | 2 | 2 | 2 | 4 | 2 | 6 | 1 | 2 | 3 | 2 | 4 | 1 | 1 | 1 | 1 |  2 | 2 | 1 | 4 | 3 | 4 | 6 | 7 | 11 | 4 | 11 | 11 | 20 | 17 | 13 | 20 | 8 | 10 | 10 | 5 | 8 | 8 | 8 |
271 | Held, Eric Daniel | THE UNIVERSITY OF WISCONSIN - MADISON | 1999 | male | 1 | 0 | 1999 | 1 | 1 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
272 | Harker, David E. | UNIVERSITY OF WYOMING | 1999 | male | 4 | 9 | 2017 | 11 | 42 | 2017 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 0 | 2 | 0 | 1 | 2 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 6 | 1 | 3 | 3 | 0 | 2 | 0 | 2 | 4 | 1 | 3 | 0 | 2 | 0 | 4 | 1 | 10 | 5 | 2 | 1 |
273 | Young Owl, Rolaine Chandler | UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN | 1999 | None | 1 | 2 | 2002 | 2 | 2 | 2002 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
274 | Hale, Stephen Earl, Jr. | THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL | 1999 | male | 1 | 2 | 2004 | 2 | 5 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
